"","#","label","duration","start time","end time","peak ampl(mean)","peak freq(0)","peak freq(1)","peak freq(2)","peak freq(3)","peak freq(4)","peak freq(5)","peak freq(6)","peak freq(7)","peak freq(8)","peak freq(9)","peak freq(10)","peak freq(11)","peak freq(12)","peak freq(13)","peak freq(14)","peak freq(15)","peak freq(16)","peak freq(17)","peak freq(18)","peak freq(19)","peak freq(20)","peak freq(21)","peak freq(22)","peak freq(23)","peak freq(24)","peak freq(25)","peak freq(26)","peak freq(27)","peak freq(28)","peak freq(29)","peak freq(30)","peak freq(31)","peak freq(32)","peak freq(33)","peak freq(34)","peak freq(35)","peak freq(36)","peak freq(37)","peak freq(38)","peak freq(39)","peak freq(40)","peak freq(41)","peak freq(42)","peak freq(43)","peak freq(44)","peak freq(45)","peak freq(46)","peak freq(47)","peak freq(48)","peak freq(49)","file"
"1",133,"unclear",0.0261,146.4273,146.4535,-76.41,NA,NA,57600,57600,57600,57100,56600,56600,56100,NA,NA,NA,55100,55100,55100,55100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58100,58100,NA,"T0000058"
"2",139,"short",0.0107,156.8906,156.9013,-77.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83900,83900,83900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83400,83400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000058"
"3",140,"short-dr",0.0107,157.1491,157.1599,-87.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71700,71700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000058"
"4",146,"complex",0.0527,158.3728,158.4255,-56.16,55100,55600,55600,55600,55600,55600,56100,56100,58100,58500,60500,60500,60500,59000,58500,56100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62500,63400,63400,64400,64400,64400,63900,63400,63400,62900,62900,62500,62000,62000,61500,61000,60500,"T0000058"
"5",148,"complex",0.0235,159.3856,159.4091,-62.68,NA,NA,88300,88300,88800,88800,88800,88800,88800,88800,88800,89300,88800,89300,89300,89300,89300,89300,89300,88800,88800,88800,88800,88300,87800,87800,87800,87400,87400,87400,NA,87400,87400,87400,87800,87800,88300,NA,NA,NA,89300,NA,NA,NA,NA,89300,NA,NA,NA,NA,"T0000058"
"6",149,"flat",0.0399,159.5868,159.6267,-87.29,NA,61500,61500,61500,NA,NA,NA,61000,60500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000058"
"7",150,"short",0.0051,160.537,160.5422,-65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,88800,88800,88800,88800,88800,NA,NA,NA,NA,NA,"T0000058"
"8",151,"short",0.0035,162.114,162.1176,-67.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,NA,NA,NA,NA,NA,NA,NA,NA,"T0000058"
"9",152,"short",0.003,162.5159,162.519,-75.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57100,57100,57100,57100,57100,57100,57100,57100,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000058"
"10",158,"short-c",0.0112,170.1754,170.1867,-36.07,58500,58500,58500,58500,58500,59000,59000,60500,60500,61000,61000,61000,61500,61500,62000,62000,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,NA,NA,62000,62000,62500,62500,62500,62500,62500,"T0000058"
