"","unique.id","file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50"
"1",1,"T0000100","idk",0.1607,0.2309,NA,NA,NA,16600,16600,16600,16100,16600,16600,16600,16100,16600,16600,16600,16600,16100,16600,16600,16600,16600,16600,16100,16600,16100,16100,16100,16100,16100,16100,NA,NA,16100,16100,16100,16100,NA,16100,NA,NA,NA,16600,16100,NA,NA,16100,NA,NA,NA,NA,NA
"2",2,"T0000100","flat",0.0496,1.1699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"T0000100","flat",0.0593,1.5329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"T0000100","short",0.0076,4.6868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"T0000100","flat",0.0522,4.7262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42400,NA,NA,NA,42400,NA,NA,NA,41500,41500,41500,41500,41000
"6",6,"T0000100","flat",0.0522,5.1415,50200,50200,50200,50200,50700,51200,50700,50700,50700,51200,50700,51200,51200,51200,51200,51200,51200,51200,51200,50700,50700,50700,50700,50200,50200,50200,50200,50200,50200,49800,49800,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49300,NA
"7",7,"T0000100","flat",0.0839,5.315,41500,41900,42400,41900,42400,42400,42400,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41900,41900,41900,41900,41900,41500,41900,41500,41500,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41500,41500,41500,41500,41500,41500,41500,41500
"8",8,"T0000100","flat",0.0967,5.4947,40500,40500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41000,41900,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41000,40500,NA,NA,41500
"9",9,"T0000100","flat",0.043,5.8757,NA,NA,NA,NA,NA,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,48300,48300,48300,48300,47800,48300,48300,48300,48300,48300,48300,48800,48300,48800,48800,48800,NA,NA,NA,NA,49800,49300,49300,50200,49800,49800,49800,49300,49300,49300,48800,48800
"10",10,"T0000100","flat",0.0199,6.2156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"T0000100","flat",0.0215,6.2617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
