"file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50"
"T0000058","unclear",0.0261,146.4273,NA,NA,57600,57600,57600,57100,56600,56600,56100,NA,NA,NA,55100,55100,55100,55100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58100,58100,NA
"T0000058","short",0.0107,156.8906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83900,83900,83900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83400,83400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000058","short-dr",0.0107,157.1491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71700,71700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000058","complex",0.0527,158.3728,55100,55600,55600,55600,55600,55600,56100,56100,58100,58500,60500,60500,60500,59000,58500,56100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62500,63400,63400,64400,64400,64400,63900,63400,63400,62900,62900,62500,62000,62000,61500,61000,60500
"T0000058","complex",0.0235,159.3856,NA,NA,88300,88300,88800,88800,88800,88800,88800,88800,88800,89300,88800,89300,89300,89300,89300,89300,89300,88800,88800,88800,88800,88300,87800,87800,87800,87400,87400,87400,NA,87400,87400,87400,87800,87800,88300,NA,NA,NA,89300,NA,NA,NA,NA,89300,NA,NA,NA,NA
"T0000058","flat",0.0399,159.5868,NA,61500,61500,61500,NA,NA,NA,61000,60500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000058","short",0.0051,160.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,88800,88800,88800,88800,88800,NA,NA,NA,NA,NA
"T0000058","short",0.0035,162.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,NA,NA,NA,NA,NA,NA,NA,NA
"T0000058","short",0.003,162.5159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57100,57100,57100,57100,57100,57100,57100,57100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000058","short-c",0.0112,170.1754,58500,58500,58500,58500,58500,59000,59000,60500,60500,61000,61000,61000,61500,61500,62000,62000,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,NA,NA,62000,62000,62500,62500,62500,62500,62500
