"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain","recording"
"1","flat",2,"T0000083",6,0.333333333333333,"SD","MomAlone"
"2","flat-z",0,"T0000083",6,0,"SD","MomAlone"
"3","flat-mz",0,"T0000083",6,0,"SD","MomAlone"
"4","short",3,"T0000083",6,0.5,"SD","MomAlone"
"5","short-su",0,"T0000083",6,0,"SD","MomAlone"
"6","short-sd",0,"T0000083",6,0,"SD","MomAlone"
"7","short-ur",0,"T0000083",6,0,"SD","MomAlone"
"8","short-dr",0,"T0000083",6,0,"SD","MomAlone"
"9","short-c",0,"T0000083",6,0,"SD","MomAlone"
"10","complex",0,"T0000083",6,0,"SD","MomAlone"
"11","upward ramp",0,"T0000083",6,0,"SD","MomAlone"
"12","downward ramp",0,"T0000083",6,0,"SD","MomAlone"
"13","step up",0,"T0000083",6,0,"SD","MomAlone"
"14","step down",0,"T0000083",6,0,"SD","MomAlone"
"15","multi-step",0,"T0000083",6,0,"SD","MomAlone"
"16","multi-step-s",0,"T0000083",6,0,"SD","MomAlone"
"17","trill",0,"T0000083",6,0,"SD","MomAlone"
"18","trill-c",0,"T0000083",6,0,"SD","MomAlone"
"19","trill-f",1,"T0000083",6,0.166666666666667,"SD","MomAlone"
"20","inverted-U",0,"T0000083",6,0,"SD","MomAlone"
"21","unclear",0,"T0000083",6,0,"SD","MomAlone"
"22","flat",0,"T0000084",19,0,"SD","PupsSep"
"23","flat-z",0,"T0000084",19,0,"SD","PupsSep"
"24","flat-mz",0,"T0000084",19,0,"SD","PupsSep"
"25","short",14,"T0000084",19,0.736842105263158,"SD","PupsSep"
"26","short-su",0,"T0000084",19,0,"SD","PupsSep"
"27","short-sd",0,"T0000084",19,0,"SD","PupsSep"
"28","short-ur",2,"T0000084",19,0.105263157894737,"SD","PupsSep"
"29","short-dr",0,"T0000084",19,0,"SD","PupsSep"
"30","short-c",0,"T0000084",19,0,"SD","PupsSep"
"31","complex",0,"T0000084",19,0,"SD","PupsSep"
"32","upward ramp",0,"T0000084",19,0,"SD","PupsSep"
"33","downward ramp",0,"T0000084",19,0,"SD","PupsSep"
"34","step up",0,"T0000084",19,0,"SD","PupsSep"
"35","step down",0,"T0000084",19,0,"SD","PupsSep"
"36","multi-step",0,"T0000084",19,0,"SD","PupsSep"
"37","multi-step-s",0,"T0000084",19,0,"SD","PupsSep"
"38","trill",0,"T0000084",19,0,"SD","PupsSep"
"39","trill-c",0,"T0000084",19,0,"SD","PupsSep"
"40","trill-f",0,"T0000084",19,0,"SD","PupsSep"
"41","inverted-U",0,"T0000084",19,0,"SD","PupsSep"
"42","unclear",3,"T0000084",19,0.157894736842105,"SD","PupsSep"
"43","flat",2428,"T0000085",3300,0.735757575757576,"SD","MBT"
"44","flat-z",392,"T0000085",3300,0.118787878787879,"SD","MBT"
"45","flat-mz",118,"T0000085",3300,0.0357575757575758,"SD","MBT"
"46","short",243,"T0000085",3300,0.0736363636363636,"SD","MBT"
"47","short-su",1,"T0000085",3300,0.000303030303030303,"SD","MBT"
"48","short-sd",0,"T0000085",3300,0,"SD","MBT"
"49","short-ur",7,"T0000085",3300,0.00212121212121212,"SD","MBT"
"50","short-dr",2,"T0000085",3300,0.000606060606060606,"SD","MBT"
"51","short-c",4,"T0000085",3300,0.00121212121212121,"SD","MBT"
"52","complex",41,"T0000085",3300,0.0124242424242424,"SD","MBT"
"53","upward ramp",11,"T0000085",3300,0.00333333333333333,"SD","MBT"
"54","downward ramp",2,"T0000085",3300,0.000606060606060606,"SD","MBT"
"55","step up",16,"T0000085",3300,0.00484848484848485,"SD","MBT"
"56","step down",20,"T0000085",3300,0.00606060606060606,"SD","MBT"
"57","multi-step",1,"T0000085",3300,0.000303030303030303,"SD","MBT"
"58","multi-step-s",0,"T0000085",3300,0,"SD","MBT"
"59","trill",1,"T0000085",3300,0.000303030303030303,"SD","MBT"
"60","trill-c",0,"T0000085",3300,0,"SD","MBT"
"61","trill-f",0,"T0000085",3300,0,"SD","MBT"
"62","inverted-U",0,"T0000085",3300,0,"SD","MBT"
"63","unclear",13,"T0000085",3300,0.00393939393939394,"SD","MBT"
"64","flat",286,"T0000087",486,0.588477366255144,"SD","Fpupiso"
"65","flat-z",83,"T0000087",486,0.170781893004115,"SD","Fpupiso"
"66","flat-mz",95,"T0000087",486,0.195473251028807,"SD","Fpupiso"
"67","short",18,"T0000087",486,0.037037037037037,"SD","Fpupiso"
"68","short-su",0,"T0000087",486,0,"SD","Fpupiso"
"69","short-sd",0,"T0000087",486,0,"SD","Fpupiso"
"70","short-ur",0,"T0000087",486,0,"SD","Fpupiso"
"71","short-dr",0,"T0000087",486,0,"SD","Fpupiso"
"72","short-c",0,"T0000087",486,0,"SD","Fpupiso"
"73","complex",2,"T0000087",486,0.00411522633744856,"SD","Fpupiso"
"74","upward ramp",2,"T0000087",486,0.00411522633744856,"SD","Fpupiso"
"75","downward ramp",0,"T0000087",486,0,"SD","Fpupiso"
"76","step up",0,"T0000087",486,0,"SD","Fpupiso"
"77","step down",0,"T0000087",486,0,"SD","Fpupiso"
"78","multi-step",0,"T0000087",486,0,"SD","Fpupiso"
"79","multi-step-s",0,"T0000087",486,0,"SD","Fpupiso"
"80","trill",0,"T0000087",486,0,"SD","Fpupiso"
"81","trill-c",0,"T0000087",486,0,"SD","Fpupiso"
"82","trill-f",0,"T0000087",486,0,"SD","Fpupiso"
"83","inverted-U",0,"T0000087",486,0,"SD","Fpupiso"
"84","unclear",0,"T0000087",486,0,"SD","Fpupiso"
"85","flat",105,"T0000088",141,0.74468085106383,"SD","Mpupiso"
"86","flat-z",29,"T0000088",141,0.205673758865248,"SD","Mpupiso"
"87","flat-mz",7,"T0000088",141,0.049645390070922,"SD","Mpupiso"
"88","short",0,"T0000088",141,0,"SD","Mpupiso"
"89","short-su",0,"T0000088",141,0,"SD","Mpupiso"
"90","short-sd",0,"T0000088",141,0,"SD","Mpupiso"
"91","short-ur",0,"T0000088",141,0,"SD","Mpupiso"
"92","short-dr",0,"T0000088",141,0,"SD","Mpupiso"
"93","short-c",0,"T0000088",141,0,"SD","Mpupiso"
"94","complex",0,"T0000088",141,0,"SD","Mpupiso"
"95","upward ramp",0,"T0000088",141,0,"SD","Mpupiso"
"96","downward ramp",0,"T0000088",141,0,"SD","Mpupiso"
"97","step up",0,"T0000088",141,0,"SD","Mpupiso"
"98","step down",0,"T0000088",141,0,"SD","Mpupiso"
"99","multi-step",0,"T0000088",141,0,"SD","Mpupiso"
"100","multi-step-s",0,"T0000088",141,0,"SD","Mpupiso"
"101","trill",0,"T0000088",141,0,"SD","Mpupiso"
"102","trill-c",0,"T0000088",141,0,"SD","Mpupiso"
"103","trill-f",0,"T0000088",141,0,"SD","Mpupiso"
"104","inverted-U",0,"T0000088",141,0,"SD","Mpupiso"
"105","unclear",0,"T0000088",141,0,"SD","Mpupiso"
"106","flat",0,"T0000089",8,0,"WK","MomAlone"
"107","flat-z",1,"T0000089",8,0.125,"WK","MomAlone"
"108","flat-mz",0,"T0000089",8,0,"WK","MomAlone"
"109","short",5,"T0000089",8,0.625,"WK","MomAlone"
"110","short-su",0,"T0000089",8,0,"WK","MomAlone"
