"","label","file.name","recording","strain"
"1","flat FAINT","T0000083","MomAlone","SD"
"2","short FAINT","T0000083","MomAlone","SD"
"3","short","T0000083","MomAlone","SD"
"4","trill-f","T0000083","MomAlone","SD"
"5","flat FAINT","T0000083","MomAlone","SD"
"6","short","T0000083","MomAlone","SD"
"7","short","T0000089","MomAlone","WK"
"8","unclear NOISE","T0000089","MomAlone","WK"
"9","short over short","T0000089","MomAlone","WK"
"10","flat-z","T0000089","MomAlone","WK"
"11","short harmx","T0000089","MomAlone","WK"
"12","unclear","T0000089","MomAlone","WK"
"13","short FAINT","T0000089","MomAlone","WK"
"14","short","T0000103","MomAlone","SD"
"15","short","T0000103","MomAlone","SD"
"16","short-ur","T0000103","MomAlone","SD"
"17","short","T0000103","MomAlone","SD"
"18","short short short NOISE","T0000103","MomAlone","SD"
"19","short short short short NOISE","T0000103","MomAlone","SD"
"20","short FAINT","T0000103","MomAlone","SD"
"21","short","T0000103","MomAlone","SD"
"22","short","T0000103","MomAlone","SD"
"23","short NOISE","T0000103","MomAlone","SD"
"24","flat FAINT","T0000153","MomAlone","SD"
"25","trill","T0000153","MomAlone","SD"
"26","complex","T0000226","MomAlone","WK"
"27","flat","T0000226","MomAlone","WK"
"28","flat","T0000226","MomAlone","WK"
"29","flat","T0000240","MomAlone","SD"
"30","flat","T0000240","MomAlone","SD"
"31","short","T0000240","MomAlone","SD"
"32","step down","T0000240","MomAlone","SD"
"33","flat","T0000252","MomAlone","SD"
"34","flat","T0000252","MomAlone","SD"
"35","short","T0000252","MomAlone","SD"
"36","flat-z","T0000252","MomAlone","SD"
"37","flat","T0000252","MomAlone","SD"
"38","flat","T0000252","MomAlone","SD"
"39","flat-mz","T0000252","MomAlone","SD"
"40","flat","T0000252","MomAlone","SD"
"41","flat","T0000252","MomAlone","SD"
"42","short","T0000252","MomAlone","SD"
"43","short","T0000252","MomAlone","SD"
"44","flat","T0000252","MomAlone","SD"
"45","flat","T0000252","MomAlone","SD"
"46","flat","T0000252","MomAlone","SD"
"47","flat","T0000252","MomAlone","SD"
"48","flat","T0000252","MomAlone","SD"
"49","flat","T0000252","MomAlone","SD"
"50","short","T0000252","MomAlone","SD"
"51","flat","T0000252","MomAlone","SD"
"52","flat","T0000252","MomAlone","SD"
"53","short","T0000252","MomAlone","SD"
"54","flat","T0000252","MomAlone","SD"
"55","flat","T0000252","MomAlone","SD"
"56","short","T0000252","MomAlone","SD"
"57","flat","T0000252","MomAlone","SD"
"58","flat","T0000252","MomAlone","SD"
"59","short","T0000252","MomAlone","SD"
"60","flat","T0000252","MomAlone","SD"
"61","flat","T0000252","MomAlone","SD"
"62","short","T0000252","MomAlone","SD"
"63","short","T0000252","MomAlone","SD"
"64","short","T0000252","MomAlone","SD"
"65","complex","T0000252","MomAlone","SD"
"66","complex","T0000252","MomAlone","SD"
"67","inverted-u","T0000252","MomAlone","SD"
"68","short-dr","T0000252","MomAlone","SD"
"69","flat","T0000252","MomAlone","SD"
"70","unclear","T0000084","PupsSep","SD"
"71","unclear","T0000084","PupsSep","SD"
"72","unclear","T0000084","PupsSep","SD"
"73","short NOISE","T0000084","PupsSep","SD"
"74","short","T0000084","PupsSep","SD"
"75","short-ur","T0000084","PupsSep","SD"
"76","short","T0000084","PupsSep","SD"
"77","short","T0000084","PupsSep","SD"
"78","short short NOISE","T0000084","PupsSep","SD"
"79","short short short NOISE","T0000084","PupsSep","SD"
"80","short","T0000084","PupsSep","SD"
"81","short","T0000084","PupsSep","SD"
"82","short-ur","T0000084","PupsSep","SD"
"83","short short NOISE","T0000084","PupsSep","SD"
"84","short FAINT","T0000084","PupsSep","SD"
"85","short NOISE","T0000090","PupsSep","WK"
"86","short short","T0000090","PupsSep","WK"
"87","short","T0000090","PupsSep","WK"
"88","short FAINT","T0000095","PupsSep","WK"
"89","short FAINT","T0000095","PupsSep","WK"
"90","flat","T0000095","PupsSep","WK"
"91","short short","T0000095","PupsSep","WK"
"92","flat NOISE","T0000095","PupsSep","WK"
"93","short","T0000095","PupsSep","WK"
"94","short NOISE","T0000095","PupsSep","WK"
"95","flat NOISE","T0000095","PupsSep","WK"
"96","short NOISE","T0000095","PupsSep","WK"
"97","short NOISE","T0000095","PupsSep","WK"
"98","flat FAINT","T0000095","PupsSep","WK"
"99","flat NOISE","T0000095","PupsSep","WK"
"100","multi-step NOISE","T0000095","PupsSep","WK"
"101","short","T0000095","PupsSep","WK"
"102","complex NOISE","T0000095","PupsSep","WK"
"103","upward ramp over short NOISE","T0000095","PupsSep","WK"
"104","trill-f NOISE","T0000095","PupsSep","WK"
"105","upward ramp over flat NOISE","T0000095","PupsSep","WK"
"106","flat NOISE","T0000095","PupsSep","WK"
"107","upward ramp NOISE","T0000095","PupsSep","WK"
"108","flat NOISE","T0000095","PupsSep","WK"
"109","trill-f","T0000095","PupsSep","WK"
"110","flat FAINT","T0000095","PupsSep","WK"
"111","short NOISE","T0000095","PupsSep","WK"
"112","flat NOISE","T0000095","PupsSep","WK"
"113","upward ramp NOISE","T0000095","PupsSep","WK"
"114","flat","T0000095","PupsSep","WK"
"115","upward ramp ovr flat and short","T0000095","PupsSep","WK"
"116","upward ramp over flat","T0000095","PupsSep","WK"
"117","flat NOISE","T0000095","PupsSep","WK"
"118","upward ramp NOISE","T0000095","PupsSep","WK"
"119","flat flat","T0000095","PupsSep","WK"
"120","flat","T0000095","PupsSep","WK"
"121","flat","T0000095","PupsSep","WK"
"122","upward ramp over short","T0000095","PupsSep","WK"
"123","unclear NOISE","T0000095","PupsSep","WK"
"124","inverted-U over unclear NOISE","T0000095","PupsSep","WK"
"125","inverted-U over unclear NOISE","T0000095","PupsSep","WK"
"126","upward ramp over flat NOISE","T0000095","PupsSep","WK"
"127","short harm","T0000095","PupsSep","WK"
"128","flat","T0000095","PupsSep","WK"
"129","flat NOISE","T0000095","PupsSep","WK"
"130","step down NOISE","T0000095","PupsSep","WK"
"131","upward ramp NOISE","T0000095","PupsSep","WK"
"132","short-su FAINT","T0000095","PupsSep","WK"
"133","short","T0000095","PupsSep","WK"
"134","short-sd FAINT","T0000095","PupsSep","WK"
"135","upward ramp NOISE","T0000095","PupsSep","WK"
"136","step down FAINT","T0000095","PupsSep","WK"
"137","step up over flat NOISE","T0000095","PupsSep","WK"
"138","upward ramp over short","T0000095","PupsSep","WK"
"139","upward ramp over flat","T0000095","PupsSep","WK"
"140","upward ramp NOISE","T0000095","PupsSep","WK"
"141","step up NOISE","T0000095","PupsSep","WK"
"142","short","T0000095","PupsSep","WK"
"143","flat","T0000095","PupsSep","WK"
"144","flat","T0000095","PupsSep","WK"
"145","flat-z","T0000095","PupsSep","WK"
"146","flat","T0000095","PupsSep","WK"
"147","trill NOISE","T0000095","PupsSep","WK"
"148","short short FAINT","T0000095","PupsSep","WK"
"149","short","T0000095","PupsSep","WK"
"150","inverted-U NOISE","T0000095","PupsSep","WK"
"151","upward ramp NOISE","T0000095","PupsSep","WK"
"152","upward ramp NOISE","T0000095","PupsSep","WK"
"153","unclear","T0000095","PupsSep","WK"
"154","upward ramp NOISE","T0000095","PupsSep","WK"
"155","inverted-U NOISE","T0000095","PupsSep","WK"
"156","step down NOISE","T0000095","PupsSep","WK"
"157","step up NOISE","T0000095","PupsSep","WK"
"158","short FAINT","T0000095","PupsSep","WK"
"159","short","T0000095","PupsSep","WK"
"160","short","T0000095","PupsSep","WK"
"161","flat over short","T0000095","PupsSep","WK"
"162","short NOISE","T0000095","PupsSep","WK"
"163","flat","T0000095","PupsSep","WK"
"164","short FAINT","T0000095","PupsSep","WK"
"165","short","T0000095","PupsSep","WK"
"166","short","T0000095","PupsSep","WK"
"167","flat over flat","T0000095","PupsSep","WK"
"168","flat","T0000095","PupsSep","WK"
"169","flat NOISE","T0000095","PupsSep","WK"
"170","flat","T0000095","PupsSep","WK"
"171","unclear","T0000095","PupsSep","WK"
"172","step up NOISE","T0000095","PupsSep","WK"
"173","short","T0000095","PupsSep","WK"
"174","short FAINT","T0000095","PupsSep","WK"
"175","short FAINT","T0000095","PupsSep","WK"
"176","short FAINT","T0000095","PupsSep","WK"
"177","short","T0000095","PupsSep","WK"
"178","short","T0000095","PupsSep","WK"
"179","short","T0000095","PupsSep","WK"
"180","upward ramp NOISE","T0000095","PupsSep","WK"
"181","upward ramp NOISE","T0000095","PupsSep","WK"
"182","short harm","T0000095","PupsSep","WK"
"183","flat harm","T0000095","PupsSep","WK"
"184","flat","T0000095","PupsSep","WK"
"185","short","T0000095","PupsSep","WK"
"186","short","T0000095","PupsSep","WK"
"187","short","T0000095","PupsSep","WK"
"188","short NOISE","T0000095","PupsSep","WK"
"189","short","T0000095","PupsSep","WK"
"190","short","T0000095","PupsSep","WK"
"191","short","T0000095","PupsSep","WK"
"192","short FAINT","T0000095","PupsSep","WK"
"193","short short short short","T0000095","PupsSep","WK"
"194","short","T0000095","PupsSep","WK"
"195","short","T0000095","PupsSep","WK"
"196","short","T0000095","PupsSep","WK"
"197","unclear","T0000095","PupsSep","WK"
"198","flat under short FAINT","T0000095","PupsSep","WK"
"199","flat flat flat NOISE","T0000095","PupsSep","WK"
"200","flat flat","T0000095","PupsSep","WK"
"201","flat","T0000095","PupsSep","WK"
"202","flat over flat FAINT","T0000095","PupsSep","WK"
"203","flat over flat FAINT","T0000095","PupsSep","WK"
"204","flat","T0000095","PupsSep","WK"
"205","short FAINT","T0000095","PupsSep","WK"
"206","short FAINT","T0000095","PupsSep","WK"
"207","short","T0000095","PupsSep","WK"
"208","upward ramp over flat","T0000095","PupsSep","WK"
"209","flat NOISE","T0000095","PupsSep","WK"
"210","inverted-U NOISE","T0000095","PupsSep","WK"
"211","flat harm","T0000095","PupsSep","WK"
"212","step down","T0000095","PupsSep","WK"
"213","upward ramp NOISE","T0000095","PupsSep","WK"
"214","short short","T0000095","PupsSep","WK"
"215","short-sd FAINT","T0000095","PupsSep","WK"
"216","short","T0000095","PupsSep","WK"
"217","multi-step","T0000095","PupsSep","WK"
"218","short NOISE","T0000095","PupsSep","WK"
"219","short FAINT","T0000095","PupsSep","WK"
"220","short","T0000104","PupsSep","SD"
"221","flat","T0000104","PupsSep","SD"
"222","unclear","T0000104","PupsSep","SD"
"223","short","T0000104","PupsSep","SD"
"224","short","T0000104","PupsSep","SD"
"225","short","T0000104","PupsSep","SD"
"226","short","T0000104","PupsSep","SD"
"227","short","T0000104","PupsSep","SD"
"228","flat under short NOISE","T0000104","PupsSep","SD"
"229","short","T0000104","PupsSep","SD"
"230","short","T0000104","PupsSep","SD"
"231","inverted-U and short harm","T0000104","PupsSep","SD"
"232","flat NOISE","T0000104","PupsSep","SD"
"233","short","T0000104","PupsSep","SD"
"234","short","T0000104","PupsSep","SD"
"235","short","T0000104","PupsSep","SD"
"236","short-ur","T0000104","PupsSep","SD"
"237","flat","T0000104","PupsSep","SD"
"238","flat","T0000104","PupsSep","SD"
"239","short-c","T0000104","PupsSep","SD"
"240","short FAINT","T0000104","PupsSep","SD"
"241","downward ramp FAINT","T0000123","PupsSep","WK"
"242","short","T0000123","PupsSep","WK"
"243","flat NOISE","T0000123","PupsSep","WK"
"244","flat","T0000123","PupsSep","WK"
"245","step up","T0000123","PupsSep","WK"
"246","short NOISE","T0000123","PupsSep","WK"
"247","flat NOISE","T0000123","PupsSep","WK"
