"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain"
"1","flat",286,"T0000087",486,0.588477366255144,"SD"
"2","flat-z",83,"T0000087",486,0.170781893004115,"SD"
"3","flat-mz",95,"T0000087",486,0.195473251028807,"SD"
"4","short",18,"T0000087",486,0.037037037037037,"SD"
"5","short-su",0,"T0000087",486,0,"SD"
"6","short-sd",0,"T0000087",486,0,"SD"
"7","short-ur",0,"T0000087",486,0,"SD"
"8","short-dr",0,"T0000087",486,0,"SD"
"9","short-c",0,"T0000087",486,0,"SD"
"10","complex",2,"T0000087",486,0.00411522633744856,"SD"
"11","upward ramp",2,"T0000087",486,0.00411522633744856,"SD"
"12","downward ramp",0,"T0000087",486,0,"SD"
"13","step up",0,"T0000087",486,0,"SD"
"14","step down",0,"T0000087",486,0,"SD"
"15","multi-step",0,"T0000087",486,0,"SD"
"16","multi-step-s",0,"T0000087",486,0,"SD"
"17","trill",0,"T0000087",486,0,"SD"
"18","trill-c",0,"T0000087",486,0,"SD"
"19","trill-f",0,"T0000087",486,0,"SD"
"20","inverted-U",0,"T0000087",486,0,"SD"
"21","unclear",0,"T0000087",486,0,"SD"
"22","flat",24,"T0000092",47,0.51063829787234,"WK"
"23","flat-z",16,"T0000092",47,0.340425531914894,"WK"
"24","flat-mz",3,"T0000092",47,0.0638297872340425,"WK"
"25","short",2,"T0000092",47,0.0425531914893617,"WK"
"26","short-su",0,"T0000092",47,0,"WK"
"27","short-sd",0,"T0000092",47,0,"WK"
"28","short-ur",0,"T0000092",47,0,"WK"
"29","short-dr",0,"T0000092",47,0,"WK"
"30","short-c",0,"T0000092",47,0,"WK"
"31","complex",0,"T0000092",47,0,"WK"
"32","upward ramp",0,"T0000092",47,0,"WK"
"33","downward ramp",0,"T0000092",47,0,"WK"
"34","step up",2,"T0000092",47,0.0425531914893617,"WK"
"35","step down",0,"T0000092",47,0,"WK"
"36","multi-step",0,"T0000092",47,0,"WK"
"37","multi-step-s",0,"T0000092",47,0,"WK"
"38","trill",0,"T0000092",47,0,"WK"
"39","trill-c",0,"T0000092",47,0,"WK"
"40","trill-f",0,"T0000092",47,0,"WK"
"41","inverted-U",0,"T0000092",47,0,"WK"
"42","unclear",0,"T0000092",47,0,"WK"
"43","flat",257,"T0000097",389,0.660668380462725,"WK"
"44","flat-z",17,"T0000097",389,0.0437017994858612,"WK"
"45","flat-mz",16,"T0000097",389,0.0411311053984576,"WK"
"46","short",69,"T0000097",389,0.177377892030848,"WK"
"47","short-su",0,"T0000097",389,0,"WK"
"48","short-sd",0,"T0000097",389,0,"WK"
"49","short-ur",4,"T0000097",389,0.0102827763496144,"WK"
"50","short-dr",2,"T0000097",389,0.0051413881748072,"WK"
"51","short-c",14,"T0000097",389,0.0359897172236504,"WK"
"52","complex",5,"T0000097",389,0.012853470437018,"WK"
"53","upward ramp",1,"T0000097",389,0.0025706940874036,"WK"
"54","downward ramp",3,"T0000097",389,0.0077120822622108,"WK"
"55","step up",0,"T0000097",389,0,"WK"
"56","step down",0,"T0000097",389,0,"WK"
"57","multi-step",0,"T0000097",389,0,"WK"
"58","multi-step-s",0,"T0000097",389,0,"WK"
"59","trill",0,"T0000097",389,0,"WK"
"60","trill-c",0,"T0000097",389,0,"WK"
"61","trill-f",0,"T0000097",389,0,"WK"
"62","inverted-U",0,"T0000097",389,0,"WK"
"63","unclear",1,"T0000097",389,0.0025706940874036,"WK"
"64","flat",151,"T0000107",176,0.857954545454545,"SD"
"65","flat-z",5,"T0000107",176,0.0284090909090909,"SD"
"66","flat-mz",0,"T0000107",176,0,"SD"
"67","short",17,"T0000107",176,0.0965909090909091,"SD"
"68","short-su",0,"T0000107",176,0,"SD"
"69","short-sd",0,"T0000107",176,0,"SD"
"70","short-ur",0,"T0000107",176,0,"SD"
"71","short-dr",0,"T0000107",176,0,"SD"
"72","short-c",1,"T0000107",176,0.00568181818181818,"SD"
"73","complex",0,"T0000107",176,0,"SD"
"74","upward ramp",1,"T0000107",176,0.00568181818181818,"SD"
"75","downward ramp",0,"T0000107",176,0,"SD"
"76","step up",0,"T0000107",176,0,"SD"
"77","step down",1,"T0000107",176,0.00568181818181818,"SD"
"78","multi-step",0,"T0000107",176,0,"SD"
"79","multi-step-s",0,"T0000107",176,0,"SD"
"80","trill",0,"T0000107",176,0,"SD"
"81","trill-c",0,"T0000107",176,0,"SD"
"82","trill-f",0,"T0000107",176,0,"SD"
"83","inverted-U",0,"T0000107",176,0,"SD"
"84","unclear",0,"T0000107",176,0,"SD"
"85","flat",103,"T0000126",259,0.397683397683398,"WK"
"86","flat-z",11,"T0000126",259,0.0424710424710425,"WK"
"87","flat-mz",3,"T0000126",259,0.0115830115830116,"WK"
"88","short",73,"T0000126",259,0.281853281853282,"WK"
"89","short-su",0,"T0000126",259,0,"WK"
