"","unique.id","file.name","label","duration","strain"
"1",1,"T0000087","flat",0.086,"SD"
"2",2,"T0000087","flat",0.0829,"SD"
"3",3,"T0000087","flat-z",0.0906,"SD"
"4",4,"T0000087","flat-z",0.0921,"SD"
"5",5,"T0000087","flat",0.109,"SD"
"6",6,"T0000087","flat",0.1372,"SD"
"7",7,"T0000087","flat",0.0931,"SD"
"8",8,"T0000087","flat",0.0727,"SD"
"9",9,"T0000087","flat",0.0209,"SD"
"10",10,"T0000087","flat",0.0906,"SD"
"11",11,"T0000087","flat",0.066,"SD"
"12",12,"T0000087","flatonicx",0.086,"SD"
"13",13,"T0000087","short",0.0051,"SD"
"14",14,"T0000087","flat-mz",0.087,"SD"
"15",15,"T0000087","upward ramponicx",0.0225,"SD"
"16",16,"T0000087","short",0.0076,"SD"
"17",17,"T0000087","flat-mz",0.0926,"SD"
"18",18,"T0000087","flat",0.0143,"SD"
"19",19,"T0000087","short",0.0025,"SD"
"20",20,"T0000087","flat-mz",0.1044,"SD"
"21",21,"T0000087","flatonicx",0.025,"SD"
"22",22,"T0000087","flat",0.0517,"SD"
"23",23,"T0000087","flatonicx",0.1024,"SD"
"24",24,"T0000087","flat-mz",0.1008,"SD"
"25",25,"T0000087","flatonicx",0.086,"SD"
"26",26,"T0000087","flat-mz",0.0512,"SD"
"27",27,"T0000087","flat",0.0481,"SD"
"28",28,"T0000087","flatonicx",0.0568,"SD"
"29",29,"T0000087","short",0.0066,"SD"
"30",30,"T0000087","flatonicx",0.0983,"SD"
"31",31,"T0000087","flatonicx",0.0942,"SD"
"32",32,"T0000087","flatonicx",0.0798,"SD"
"33",33,"T0000087","flatonicx",0.0993,"SD"
"34",34,"T0000087","flatonicx",0.1172,"SD"
"35",35,"T0000087","flatonicx",0.1182,"SD"
"36",36,"T0000087","flatonic",0.1187,"SD"
"37",37,"T0000087","flatonic",0.0865,"SD"
"38",38,"T0000087","flatonicx",0.1285,"SD"
"39",39,"T0000087","flatonic",0.0834,"SD"
"40",40,"T0000087","flatonic",0.0839,"SD"
"41",41,"T0000087","flat",0.0711,"SD"
"42",42,"T0000087","flatonic",0.1013,"SD"
"43",43,"T0000087","flatonic",0.1146,"SD"
"44",44,"T0000087","flatonicx",0.0998,"SD"
"45",45,"T0000087","flatonicx",0.1233,"SD"
"46",46,"T0000087","flatonicx",0.1008,"SD"
"47",47,"T0000087","flatonicx",0.1075,"SD"
"48",48,"T0000087","flatonicx",0.1013,"SD"
"49",49,"T0000087","flat",0.0168,"SD"
"50",50,"T0000087","flat-mz",0.1602,"SD"
"51",51,"T0000087","flatonicx",0.0865,"SD"
"52",52,"T0000087","flatonicx",0.1018,"SD"
"53",53,"T0000087","flatonic",0.0824,"SD"
"54",54,"T0000087","flatonicx",0.0747,"SD"
"55",55,"T0000087","flatonicx",0.0368,"SD"
"56",56,"T0000087","flatonicx",0.0762,"SD"
"57",57,"T0000087","flatonicx",0.0798,"SD"
"58",58,"T0000087","flatonicx",0.0885,"SD"
"59",59,"T0000087","flatonicx",0.0634,"SD"
"60",60,"T0000087","flat-z",0.1018,"SD"
"61",61,"T0000087","flatonic",0.0998,"SD"
"62",62,"T0000087","flat-z",0.1136,"SD"
"63",63,"T0000087","flatonicx",0.0896,"SD"
"64",64,"T0000087","flatonicx",0.0962,"SD"
"65",65,"T0000087","flatonicx",0.1121,"SD"
"66",66,"T0000087","flatonicx",0.1392,"SD"
"67",67,"T0000087","flatonicx",0.1111,"SD"
"68",68,"T0000087","flat-mz",0.1152,"SD"
"69",69,"T0000087","flatonicx",0.1162,"SD"
"70",70,"T0000087","flatonicx",0.0906,"SD"
"71",71,"T0000087","flat-mz",0.0952,"SD"
"72",72,"T0000087","flatonicx",0.1121,"SD"
"73",73,"T0000087","flatonicx",0.0916,"SD"
"74",74,"T0000087","flatonicx",0.1295,"SD"
"75",75,"T0000087","flat-z",0.0952,"SD"
"76",76,"T0000087","flat-mz",0.0614,"SD"
"77",77,"T0000087","flat-mz",0.0665,"SD"
"78",78,"T0000087","flat-mz",0.1013,"SD"
"79",79,"T0000087","flat-z",0.0844,"SD"
"80",80,"T0000087","flat-z",0.089,"SD"
"81",81,"T0000087","flat-mz",0.068,"SD"
"82",82,"T0000087","flat-z",0.1187,"SD"
"83",83,"T0000087","flatonicx",0.0537,"SD"
"84",84,"T0000087","flatonicx",0.1024,"SD"
"85",85,"T0000087","flatonicx",0.0614,"SD"
"86",86,"T0000087","flatonicx",0.1346,"SD"
"87",87,"T0000087","flatonicx",0.0814,"SD"
"88",88,"T0000087","flat-mz",0.0962,"SD"
"89",89,"T0000087","flatonicx",0.0921,"SD"
"90",90,"T0000087","flat-mz",0.0875,"SD"
"91",91,"T0000087","flatonicx",0.0435,"SD"
"92",92,"T0000087","flat-mz",0.0906,"SD"
"93",93,"T0000087","flatonicx",0.0783,"SD"
"94",94,"T0000087","flat-z",0.0931,"SD"
"95",95,"T0000087","flatonicx",0.045,"SD"
"96",96,"T0000087","flatonicx",0.0691,"SD"
"97",97,"T0000087","flatonicx",0.1018,"SD"
"98",98,"T0000087","flat-z",0.1034,"SD"
"99",99,"T0000087","flatonicx",0.0819,"SD"
"100",100,"T0000087","flat-z",0.0762,"SD"
"101",101,"T0000087","flat-mz",0.0762,"SD"
"102",102,"T0000087","flat-z",0.089,"SD"
"103",103,"T0000087","flat",0.0404,"SD"
