"","unique.id","file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","strain"
"1",1,"T0000087","flat",0.086,0.0261,41900,41900,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41500,41900,41500,41900,41900,41900,41900,41900,41500,41500,41900,41500,41500,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,"SD"
"2",2,"T0000087","flat",0.0829,0.237,41900,41900,41900,41900,41900,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,41500,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,"SD"
"3",3,"T0000087","flat-z",0.0906,0.4295,47800,47800,47300,47300,47300,46800,46800,46800,46800,46800,46300,46300,46300,46300,46300,46300,46300,46300,42900,42900,42900,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42900,42900,42900,43400,43400,"SD"
"4",4,"T0000087","flat-z",0.0921,0.6722,47300,47300,47300,47300,47300,47300,46800,46800,46800,46800,42900,42900,42400,42400,41900,41900,41900,41500,41500,41500,41500,41500,41000,41000,41000,41000,40500,40500,40500,40500,40500,40500,40500,40000,40000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41000,41000,"SD"
"5",5,"T0000087","flat",0.109,0.8622,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41500,41500,41500,41500,41000,41000,82500,41000,41000,40500,41000,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,41000,82000,82000,82500,41500,41500,41500,41500,41500,41500,83000,41500,41500,42400,42400,41900,"SD"
"6",6,"T0000087","flat",0.1372,1.0741,40500,41000,41000,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,42400,42400,42400,42400,41900,41900,"SD"
"7",7,"T0000087","flat",0.0931,1.3173,41000,41000,41000,41500,41500,41500,41500,41500,41500,41900,41900,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42900,42900,42900,43400,43400,43900,44400,44400,44900,44900,44400,43900,41900,"SD"
"8",8,"T0000087","flat",0.0727,1.5242,78100,79500,NA,NA,41000,40000,40000,40500,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,41000,41000,41000,82000,82000,82000,41000,82000,41000,41000,41000,41000,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41900,42400,43400,43400,43400,"SD"
"9",9,"T0000087","flat",0.0209,1.7336,42400,42400,42400,42400,42900,42900,42900,42900,42900,42900,42900,42900,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43900,43900,43900,43900,43900,43900,43900,44400,44400,44400,44400,44400,44400,44400,44400,44400,44900,44900,44900,44900,44900,44900,44900,44900,45400,45400,45400,44900,"SD"
"10",10,"T0000087","flat",0.0906,1.8826,41500,41500,41500,41900,41900,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,40500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41000,"SD"
"11",11,"T0000087","flat",0.066,2.0971,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,43400,43400,43900,43900,43900,43900,43900,"SD"
"12",12,"T0000087","flatonicx",0.086,2.8129,43400,43400,43400,43900,43900,43400,43400,43400,42900,42900,42900,42900,42400,42400,42400,42400,41900,41900,41900,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,42400,42400,42900,42900,NA,"SD"
"13",13,"T0000087","short",0.0051,3.2097,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,"SD"
"14",14,"T0000087","flat-mz",0.087,3.3346,40500,40000,40000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41000,41000,41500,NA,NA,41000,41000,41500,41500,41500,41500,41500,41900,41900,41900,42400,42400,42900,42900,43400,44400,45400,45800,45800,46300,46300,46300,43900,43900,43400,"SD"
"15",15,"T0000087","upward ramponicx",0.0225,3.5686,48800,48800,48800,49300,49300,49300,49300,49300,49300,49800,49800,49800,49800,49800,49800,50200,50200,50200,50200,50700,50700,50700,50700,50700,51200,51200,51200,51200,51700,51700,51700,51700,52200,52200,52200,52200,52700,52700,52700,53200,53200,53200,53700,53700,53700,53700,53200,52700,53700,NA,"SD"
"16",16,"T0000087","short",0.0076,3.7396,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54600,54600,54600,54600,54100,54100,54100,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,NA,NA,NA,53700,"SD"
"17",17,"T0000087","flat-mz",0.0926,3.864,42400,42400,42400,42900,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,42900,42900,43400,43400,45800,46300,46300,46300,46300,46300,46300,46300,46300,46300,46800,46300,NA,"SD"
