"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain"
"1","flat",464,"T0000087",664,0.698795180722892,"SD"
"2","flat-z",83,"T0000087",664,0.125,"SD"
"3","flat-mz",95,"T0000087",664,0.143072289156627,"SD"
"4","short",18,"T0000087",664,0.0271084337349398,"SD"
"5","short-su",0,"T0000087",664,0,"SD"
"6","short-sd",0,"T0000087",664,0,"SD"
"7","short-ur",0,"T0000087",664,0,"SD"
"8","short-dr",0,"T0000087",664,0,"SD"
"9","short-c",0,"T0000087",664,0,"SD"
"10","complex",2,"T0000087",664,0.00301204819277108,"SD"
"11","upward ramp",2,"T0000087",664,0.00301204819277108,"SD"
"12","downward ramp",0,"T0000087",664,0,"SD"
"13","step up",0,"T0000087",664,0,"SD"
"14","step down",0,"T0000087",664,0,"SD"
"15","multi-step",0,"T0000087",664,0,"SD"
"16","multi-step-s",0,"T0000087",664,0,"SD"
"17","trill",0,"T0000087",664,0,"SD"
"18","trill-c",0,"T0000087",664,0,"SD"
"19","trill-f",0,"T0000087",664,0,"SD"
"20","inverted-U",0,"T0000087",664,0,"SD"
"21","unclear",0,"T0000087",664,0,"SD"
"22","flat",141,"T0000088",177,0.796610169491525,"SD"
"23","flat-z",29,"T0000088",177,0.163841807909605,"SD"
"24","flat-mz",7,"T0000088",177,0.0395480225988701,"SD"
"25","short",0,"T0000088",177,0,"SD"
"26","short-su",0,"T0000088",177,0,"SD"
"27","short-sd",0,"T0000088",177,0,"SD"
"28","short-ur",0,"T0000088",177,0,"SD"
"29","short-dr",0,"T0000088",177,0,"SD"
"30","short-c",0,"T0000088",177,0,"SD"
"31","complex",0,"T0000088",177,0,"SD"
"32","upward ramp",0,"T0000088",177,0,"SD"
"33","downward ramp",0,"T0000088",177,0,"SD"
"34","step up",0,"T0000088",177,0,"SD"
"35","step down",0,"T0000088",177,0,"SD"
"36","multi-step",0,"T0000088",177,0,"SD"
"37","multi-step-s",0,"T0000088",177,0,"SD"
"38","trill",0,"T0000088",177,0,"SD"
"39","trill-c",0,"T0000088",177,0,"SD"
"40","trill-f",0,"T0000088",177,0,"SD"
"41","inverted-U",0,"T0000088",177,0,"SD"
"42","unclear",0,"T0000088",177,0,"SD"
"43","flat",43,"T0000092",66,0.651515151515151,"WK"
"44","flat-z",16,"T0000092",66,0.242424242424242,"WK"
"45","flat-mz",3,"T0000092",66,0.0454545454545455,"WK"
"46","short",2,"T0000092",66,0.0303030303030303,"WK"
"47","short-su",0,"T0000092",66,0,"WK"
"48","short-sd",0,"T0000092",66,0,"WK"
"49","short-ur",0,"T0000092",66,0,"WK"
"50","short-dr",0,"T0000092",66,0,"WK"
"51","short-c",0,"T0000092",66,0,"WK"
"52","complex",0,"T0000092",66,0,"WK"
"53","upward ramp",0,"T0000092",66,0,"WK"
"54","downward ramp",0,"T0000092",66,0,"WK"
"55","step up",2,"T0000092",66,0.0303030303030303,"WK"
"56","step down",0,"T0000092",66,0,"WK"
"57","multi-step",0,"T0000092",66,0,"WK"
"58","multi-step-s",0,"T0000092",66,0,"WK"
"59","trill",0,"T0000092",66,0,"WK"
"60","trill-c",0,"T0000092",66,0,"WK"
"61","trill-f",0,"T0000092",66,0,"WK"
"62","inverted-U",0,"T0000092",66,0,"WK"
"63","unclear",0,"T0000092",66,0,"WK"
"64","flat",48,"T0000093",104,0.461538461538462,"WK"
"65","flat-z",8,"T0000093",104,0.0769230769230769,"WK"
"66","flat-mz",3,"T0000093",104,0.0288461538461538,"WK"
"67","short",31,"T0000093",104,0.298076923076923,"WK"
"68","short-su",0,"T0000093",104,0,"WK"
"69","short-sd",0,"T0000093",104,0,"WK"
"70","short-ur",2,"T0000093",104,0.0192307692307692,"WK"
"71","short-dr",0,"T0000093",104,0,"WK"
"72","short-c",10,"T0000093",104,0.0961538461538462,"WK"
"73","complex",0,"T0000093",104,0,"WK"
"74","upward ramp",0,"T0000093",104,0,"WK"
"75","downward ramp",1,"T0000093",104,0.00961538461538462,"WK"
"76","step up",1,"T0000093",104,0.00961538461538462,"WK"
"77","step down",0,"T0000093",104,0,"WK"
"78","multi-step",0,"T0000093",104,0,"WK"
"79","multi-step-s",0,"T0000093",104,0,"WK"
"80","trill",0,"T0000093",104,0,"WK"
"81","trill-c",0,"T0000093",104,0,"WK"
"82","trill-f",0,"T0000093",104,0,"WK"
"83","inverted-U",0,"T0000093",104,0,"WK"
"84","unclear",0,"T0000093",104,0,"WK"
"85","flat",290,"T0000097",442,0.656108597285068,"WK"
"86","flat-z",17,"T0000097",442,0.0384615384615385,"WK"
"87","flat-mz",16,"T0000097",442,0.0361990950226244,"WK"
"88","short",89,"T0000097",442,0.201357466063348,"WK"
"89","short-su",0,"T0000097",442,0,"WK"
"90","short-sd",0,"T0000097",442,0,"WK"
"91","short-ur",4,"T0000097",442,0.00904977375565611,"WK"
"92","short-dr",2,"T0000097",442,0.00452488687782805,"WK"
"93","short-c",14,"T0000097",442,0.0316742081447964,"WK"
"94","complex",5,"T0000097",442,0.0113122171945701,"WK"
"95","upward ramp",1,"T0000097",442,0.00226244343891403,"WK"
"96","downward ramp",3,"T0000097",442,0.00678733031674208,"WK"
"97","step up",0,"T0000097",442,0,"WK"
"98","step down",0,"T0000097",442,0,"WK"
"99","multi-step",0,"T0000097",442,0,"WK"
"100","multi-step-s",0,"T0000097",442,0,"WK"
"101","trill",0,"T0000097",442,0,"WK"
"102","trill-c",0,"T0000097",442,0,"WK"
"103","trill-f",0,"T0000097",442,0,"WK"
"104","inverted-U",0,"T0000097",442,0,"WK"
"105","unclear",1,"T0000097",442,0.00226244343891403,"WK"
"106","flat",450,"T0000098",661,0.680786686838124,"WK"
"107","flat-z",142,"T0000098",661,0.21482602118003,"WK"
"108","flat-mz",41,"T0000098",661,0.0620272314674735,"WK"
"109","short",22,"T0000098",661,0.0332829046898638,"WK"
"110","short-su",0,"T0000098",661,0,"WK"
"111","short-sd",0,"T0000098",661,0,"WK"
"112","short-ur",0,"T0000098",661,0,"WK"
"113","short-dr",1,"T0000098",661,0.00151285930408472,"WK"
"114","short-c",0,"T0000098",661,0,"WK"
"115","complex",4,"T0000098",661,0.00605143721633888,"WK"
"116","upward ramp",1,"T0000098",661,0.00151285930408472,"WK"
"117","downward ramp",0,"T0000098",661,0,"WK"
"118","step up",0,"T0000098",661,0,"WK"
"119","step down",0,"T0000098",661,0,"WK"
"120","multi-step",0,"T0000098",661,0,"WK"
"121","multi-step-s",0,"T0000098",661,0,"WK"
"122","trill",0,"T0000098",661,0,"WK"
"123","trill-c",0,"T0000098",661,0,"WK"
"124","trill-f",0,"T0000098",661,0,"WK"
"125","inverted-U",0,"T0000098",661,0,"WK"
"126","unclear",0,"T0000098",661,0,"WK"
"127","flat",21,"T0000106",29,0.724137931034483,"SD"
"128","flat-z",0,"T0000106",29,0,"SD"
"129","flat-mz",0,"T0000106",29,0,"SD"
"130","short",5,"T0000106",29,0.172413793103448,"SD"
"131","short-su",1,"T0000106",29,0.0344827586206897,"SD"
"132","short-sd",0,"T0000106",29,0,"SD"
"133","short-ur",0,"T0000106",29,0,"SD"
"134","short-dr",1,"T0000106",29,0.0344827586206897,"SD"
"135","short-c",1,"T0000106",29,0.0344827586206897,"SD"
"136","complex",0,"T0000106",29,0,"SD"
"137","upward ramp",0,"T0000106",29,0,"SD"
"138","downward ramp",0,"T0000106",29,0,"SD"
"139","step up",0,"T0000106",29,0,"SD"
"140","step down",0,"T0000106",29,0,"SD"
"141","multi-step",0,"T0000106",29,0,"SD"
"142","multi-step-s",0,"T0000106",29,0,"SD"
"143","trill",0,"T0000106",29,0,"SD"
"144","trill-c",0,"T0000106",29,0,"SD"
"145","trill-f",0,"T0000106",29,0,"SD"
"146","inverted-U",0,"T0000106",29,0,"SD"
"147","unclear",0,"T0000106",29,0,"SD"
"148","flat",156,"T0000107",182,0.857142857142857,"SD"
"149","flat-z",5,"T0000107",182,0.0274725274725275,"SD"
"150","flat-mz",0,"T0000107",182,0,"SD"
"151","short",18,"T0000107",182,0.0989010989010989,"SD"
"152","short-su",0,"T0000107",182,0,"SD"
"153","short-sd",0,"T0000107",182,0,"SD"
"154","short-ur",0,"T0000107",182,0,"SD"
"155","short-dr",0,"T0000107",182,0,"SD"
"156","short-c",1,"T0000107",182,0.00549450549450549,"SD"
"157","complex",0,"T0000107",182,0,"SD"
"158","upward ramp",1,"T0000107",182,0.00549450549450549,"SD"
"159","downward ramp",0,"T0000107",182,0,"SD"
"160","step up",0,"T0000107",182,0,"SD"
"161","step down",1,"T0000107",182,0.00549450549450549,"SD"
"162","multi-step",0,"T0000107",182,0,"SD"
"163","multi-step-s",0,"T0000107",182,0,"SD"
"164","trill",0,"T0000107",182,0,"SD"
"165","trill-c",0,"T0000107",182,0,"SD"
"166","trill-f",0,"T0000107",182,0,"SD"
"167","inverted-U",0,"T0000107",182,0,"SD"
"168","unclear",0,"T0000107",182,0,"SD"
"169","flat",113,"T0000125",145,0.779310344827586,"WK"
"170","flat-z",2,"T0000125",145,0.0137931034482759,"WK"
"171","flat-mz",0,"T0000125",145,0,"WK"
"172","short",20,"T0000125",145,0.137931034482759,"WK"
"173","short-su",0,"T0000125",145,0,"WK"
"174","short-sd",1,"T0000125",145,0.00689655172413793,"WK"
"175","short-ur",1,"T0000125",145,0.00689655172413793,"WK"
"176","short-dr",0,"T0000125",145,0,"WK"
"177","short-c",2,"T0000125",145,0.0137931034482759,"WK"
"178","complex",1,"T0000125",145,0.00689655172413793,"WK"
"179","upward ramp",0,"T0000125",145,0,"WK"
"180","downward ramp",0,"T0000125",145,0,"WK"
"181","step up",5,"T0000125",145,0.0344827586206897,"WK"
"182","step down",0,"T0000125",145,0,"WK"
"183","multi-step",0,"T0000125",145,0,"WK"
"184","multi-step-s",0,"T0000125",145,0,"WK"
"185","trill",0,"T0000125",145,0,"WK"
"186","trill-c",0,"T0000125",145,0,"WK"
"187","trill-f",0,"T0000125",145,0,"WK"
"188","inverted-U",0,"T0000125",145,0,"WK"
"189","unclear",0,"T0000125",145,0,"WK"
"190","flat",117,"T0000126",329,0.355623100303951,"WK"
"191","flat-z",11,"T0000126",329,0.033434650455927,"WK"
"192","flat-mz",3,"T0000126",329,0.00911854103343465,"WK"
"193","short",129,"T0000126",329,0.39209726443769,"WK"
"194","short-su",0,"T0000126",329,0,"WK"
"195","short-sd",0,"T0000126",329,0,"WK"
"196","short-ur",7,"T0000126",329,0.0212765957446809,"WK"
"197","short-dr",4,"T0000126",329,0.0121580547112462,"WK"
"198","short-c",45,"T0000126",329,0.13677811550152,"WK"
"199","complex",3,"T0000126",329,0.00911854103343465,"WK"
"200","upward ramp",0,"T0000126",329,0,"WK"
"201","downward ramp",3,"T0000126",329,0.00911854103343465,"WK"
"202","step up",5,"T0000126",329,0.0151975683890578,"WK"
"203","step down",0,"T0000126",329,0,"WK"
"204","multi-step",0,"T0000126",329,0,"WK"
"205","multi-step-s",0,"T0000126",329,0,"WK"
"206","trill",0,"T0000126",329,0,"WK"
"207","trill-c",0,"T0000126",329,0,"WK"
"208","trill-f",0,"T0000126",329,0,"WK"
"209","inverted-U",0,"T0000126",329,0,"WK"
"210","unclear",2,"T0000126",329,0.0060790273556231,"WK"
"211","flat",4,"T0000142",7,0.571428571428571,"SD"
"212","flat-z",0,"T0000142",7,0,"SD"
"213","flat-mz",0,"T0000142",7,0,"SD"
"214","short",3,"T0000142",7,0.428571428571429,"SD"
"215","short-su",0,"T0000142",7,0,"SD"
"216","short-sd",0,"T0000142",7,0,"SD"
"217","short-ur",0,"T0000142",7,0,"SD"
"218","short-dr",0,"T0000142",7,0,"SD"
"219","short-c",0,"T0000142",7,0,"SD"
"220","complex",0,"T0000142",7,0,"SD"
"221","upward ramp",0,"T0000142",7,0,"SD"
"222","downward ramp",0,"T0000142",7,0,"SD"
"223","step up",0,"T0000142",7,0,"SD"
"224","step down",0,"T0000142",7,0,"SD"
"225","multi-step",0,"T0000142",7,0,"SD"
"226","multi-step-s",0,"T0000142",7,0,"SD"
"227","trill",0,"T0000142",7,0,"SD"
"228","trill-c",0,"T0000142",7,0,"SD"
"229","trill-f",0,"T0000142",7,0,"SD"
"230","inverted-U",0,"T0000142",7,0,"SD"
"231","unclear",0,"T0000142",7,0,"SD"
"232","flat",2,"T0000143",3,0.666666666666667,"SD"
"233","flat-z",0,"T0000143",3,0,"SD"
"234","flat-mz",0,"T0000143",3,0,"SD"
"235","short",1,"T0000143",3,0.333333333333333,"SD"
"236","short-su",0,"T0000143",3,0,"SD"
"237","short-sd",0,"T0000143",3,0,"SD"
"238","short-ur",0,"T0000143",3,0,"SD"
"239","short-dr",0,"T0000143",3,0,"SD"
"240","short-c",0,"T0000143",3,0,"SD"
"241","complex",0,"T0000143",3,0,"SD"
"242","upward ramp",0,"T0000143",3,0,"SD"
"243","downward ramp",0,"T0000143",3,0,"SD"
"244","step up",0,"T0000143",3,0,"SD"
"245","step down",0,"T0000143",3,0,"SD"
"246","multi-step",0,"T0000143",3,0,"SD"
"247","multi-step-s",0,"T0000143",3,0,"SD"
"248","trill",0,"T0000143",3,0,"SD"
"249","trill-c",0,"T0000143",3,0,"SD"
"250","trill-f",0,"T0000143",3,0,"SD"
"251","inverted-U",0,"T0000143",3,0,"SD"
"252","unclear",0,"T0000143",3,0,"SD"
"253","flat",110,"T0000149",190,0.578947368421053,"SD"
"254","flat-z",33,"T0000149",190,0.173684210526316,"SD"
"255","flat-mz",21,"T0000149",190,0.110526315789474,"SD"
"256","short",17,"T0000149",190,0.0894736842105263,"SD"
"257","short-su",0,"T0000149",190,0,"SD"
"258","short-sd",0,"T0000149",190,0,"SD"
"259","short-ur",6,"T0000149",190,0.0315789473684211,"SD"
"260","short-dr",0,"T0000149",190,0,"SD"
"261","short-c",0,"T0000149",190,0,"SD"
"262","complex",2,"T0000149",190,0.0105263157894737,"SD"
"263","upward ramp",0,"T0000149",190,0,"SD"
"264","downward ramp",0,"T0000149",190,0,"SD"
"265","step up",0,"T0000149",190,0,"SD"
"266","step down",1,"T0000149",190,0.00526315789473684,"SD"
"267","multi-step",0,"T0000149",190,0,"SD"
"268","multi-step-s",0,"T0000149",190,0,"SD"
"269","trill",0,"T0000149",190,0,"SD"
"270","trill-c",0,"T0000149",190,0,"SD"
"271","trill-f",0,"T0000149",190,0,"SD"
"272","inverted-U",0,"T0000149",190,0,"SD"
"273","unclear",0,"T0000149",190,0,"SD"
"274","flat",32,"T0000151",73,0.438356164383562,"SD"
"275","flat-z",9,"T0000151",73,0.123287671232877,"SD"
"276","flat-mz",3,"T0000151",73,0.0410958904109589,"SD"
"277","short",24,"T0000151",73,0.328767123287671,"SD"
"278","short-su",0,"T0000151",73,0,"SD"
"279","short-sd",0,"T0000151",73,0,"SD"
"280","short-ur",2,"T0000151",73,0.0273972602739726,"SD"
"281","short-dr",0,"T0000151",73,0,"SD"
"282","short-c",1,"T0000151",73,0.0136986301369863,"SD"
"283","complex",1,"T0000151",73,0.0136986301369863,"SD"
"284","upward ramp",1,"T0000151",73,0.0136986301369863,"SD"
"285","downward ramp",0,"T0000151",73,0,"SD"
"286","step up",0,"T0000151",73,0,"SD"
"287","step down",0,"T0000151",73,0,"SD"
"288","multi-step",0,"T0000151",73,0,"SD"
"289","multi-step-s",0,"T0000151",73,0,"SD"
"290","trill",0,"T0000151",73,0,"SD"
"291","trill-c",0,"T0000151",73,0,"SD"
"292","trill-f",0,"T0000151",73,0,"SD"
"293","inverted-U",0,"T0000151",73,0,"SD"
"294","unclear",0,"T0000151",73,0,"SD"
"295","flat",155,"T0000156",219,0.707762557077626,"SD"
"296","flat-z",36,"T0000156",219,0.164383561643836,"SD"
"297","flat-mz",22,"T0000156",219,0.100456621004566,"SD"
"298","short",3,"T0000156",219,0.0136986301369863,"SD"
"299","short-su",0,"T0000156",219,0,"SD"
"300","short-sd",0,"T0000156",219,0,"SD"
"301","short-ur",0,"T0000156",219,0,"SD"
"302","short-dr",0,"T0000156",219,0,"SD"
"303","short-c",0,"T0000156",219,0,"SD"
"304","complex",0,"T0000156",219,0,"SD"
"305","upward ramp",0,"T0000156",219,0,"SD"
"306","downward ramp",2,"T0000156",219,0.0091324200913242,"SD"
"307","step up",1,"T0000156",219,0.0045662100456621,"SD"
"308","step down",0,"T0000156",219,0,"SD"
"309","multi-step",0,"T0000156",219,0,"SD"
"310","multi-step-s",0,"T0000156",219,0,"SD"
"311","trill",0,"T0000156",219,0,"SD"
"312","trill-c",0,"T0000156",219,0,"SD"
"313","trill-f",0,"T0000156",219,0,"SD"
"314","inverted-U",0,"T0000156",219,0,"SD"
"315","unclear",0,"T0000156",219,0,"SD"
"316","flat",17,"T0000157",42,0.404761904761905,"SD"
"317","flat-z",1,"T0000157",42,0.0238095238095238,"SD"
"318","flat-mz",2,"T0000157",42,0.0476190476190476,"SD"
"319","short",15,"T0000157",42,0.357142857142857,"SD"
"320","short-su",0,"T0000157",42,0,"SD"
"321","short-sd",0,"T0000157",42,0,"SD"
"322","short-ur",2,"T0000157",42,0.0476190476190476,"SD"
"323","short-dr",4,"T0000157",42,0.0952380952380952,"SD"
"324","short-c",0,"T0000157",42,0,"SD"
"325","complex",1,"T0000157",42,0.0238095238095238,"SD"
"326","upward ramp",0,"T0000157",42,0,"SD"
"327","downward ramp",0,"T0000157",42,0,"SD"
"328","step up",0,"T0000157",42,0,"SD"
"329","step down",0,"T0000157",42,0,"SD"
"330","multi-step",0,"T0000157",42,0,"SD"
"331","multi-step-s",0,"T0000157",42,0,"SD"
"332","trill",0,"T0000157",42,0,"SD"
"333","trill-c",0,"T0000157",42,0,"SD"
"334","trill-f",0,"T0000157",42,0,"SD"
"335","inverted-U",0,"T0000157",42,0,"SD"
"336","unclear",0,"T0000157",42,0,"SD"
"337","flat",1,"T0000186",1,1,"WK"
"338","flat-z",0,"T0000186",1,0,"WK"
"339","flat-mz",0,"T0000186",1,0,"WK"
"340","short",0,"T0000186",1,0,"WK"
"341","short-su",0,"T0000186",1,0,"WK"
