"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain"
"1","flat",364,"T0000100",497,0.732394366197183,"SD"
"2","flat-z",42,"T0000100",497,0.0845070422535211,"SD"
"3","flat-mz",14,"T0000100",497,0.028169014084507,"SD"
"4","short",52,"T0000100",497,0.104627766599598,"SD"
"5","short-su",0,"T0000100",497,0,"SD"
"6","short-sd",0,"T0000100",497,0,"SD"
"7","short-ur",12,"T0000100",497,0.0241448692152917,"SD"
"8","short-dr",0,"T0000100",497,0,"SD"
"9","short-c",2,"T0000100",497,0.00402414486921529,"SD"
"10","complex",2,"T0000100",497,0.00402414486921529,"SD"
"11","upward ramp",2,"T0000100",497,0.00402414486921529,"SD"
"12","downward ramp",2,"T0000100",497,0.00402414486921529,"SD"
"13","step up",0,"T0000100",497,0,"SD"
"14","step down",1,"T0000100",497,0.00201207243460765,"SD"
"15","multi-step",0,"T0000100",497,0,"SD"
"16","multi-step-s",0,"T0000100",497,0,"SD"
"17","trill",0,"T0000100",497,0,"SD"
"18","trill-c",0,"T0000100",497,0,"SD"
"19","trill-f",0,"T0000100",497,0,"SD"
"20","inverted-U",0,"T0000100",497,0,"SD"
"21","unclear",4,"T0000100",497,0.00804828973843058,"SD"
"22","flat",34,"T0000102",72,0.472222222222222,"WK"
"23","flat-z",1,"T0000102",72,0.0138888888888889,"WK"
"24","flat-mz",0,"T0000102",72,0,"WK"
"25","short",27,"T0000102",72,0.375,"WK"
"26","short-su",0,"T0000102",72,0,"WK"
"27","short-sd",0,"T0000102",72,0,"WK"
"28","short-ur",0,"T0000102",72,0,"WK"
"29","short-dr",1,"T0000102",72,0.0138888888888889,"WK"
"30","short-c",5,"T0000102",72,0.0694444444444444,"WK"
"31","complex",1,"T0000102",72,0.0138888888888889,"WK"
"32","upward ramp",0,"T0000102",72,0,"WK"
"33","downward ramp",1,"T0000102",72,0.0138888888888889,"WK"
"34","step up",1,"T0000102",72,0.0138888888888889,"WK"
"35","step down",0,"T0000102",72,0,"WK"
"36","multi-step",0,"T0000102",72,0,"WK"
"37","multi-step-s",0,"T0000102",72,0,"WK"
"38","trill",0,"T0000102",72,0,"WK"
"39","trill-c",0,"T0000102",72,0,"WK"
"40","trill-f",0,"T0000102",72,0,"WK"
"41","inverted-U",0,"T0000102",72,0,"WK"
