"","unique.id","file.name","label","duration","strain"
"1",1,"T0000100","idk",0.1607,"SD"
"2",2,"T0000100","flat",0.0496,"SD"
"3",3,"T0000100","flat",0.0593,"SD"
"4",4,"T0000100","short",0.0076,"SD"
"5",5,"T0000100","flat",0.0522,"SD"
"6",6,"T0000100","flat",0.0522,"SD"
"7",7,"T0000100","flat",0.0839,"SD"
"8",8,"T0000100","flat",0.0967,"SD"
"9",9,"T0000100","flat",0.043,"SD"
"10",10,"T0000100","flat",0.0199,"SD"
"11",11,"T0000100","flat",0.0215,"SD"
"12",12,"T0000100","flat",0.0373,"SD"
"13",13,"T0000100","flat",0.0286,"SD"
"14",14,"T0000100","short",0.0061,"SD"
"15",15,"T0000100","short",0.0051,"SD"
"16",16,"T0000100","short-ur",0.0087,"SD"
"17",17,"T0000100","short-ur",0.004,"SD"
"18",18,"T0000100","step down",0.0286,"SD"
"19",19,"T0000100","short",0.0076,"SD"
"20",20,"T0000100","short",0.0071,"SD"
"21",21,"T0000100","short-ur",0.0081,"SD"
"22",22,"T0000100","flat",0.0312,"SD"
"23",23,"T0000100","flat",0.0117,"SD"
"24",24,"T0000100","flat",0.0133,"SD"
"25",25,"T0000100","flat",0.0163,"SD"
"26",26,"T0000100","flat",0.0312,"SD"
"27",27,"T0000100","short",0.0107,"SD"
"28",28,"T0000100","flat-z",0.0209,"SD"
"29",29,"T0000100","flat",0.0424,"SD"
"30",30,"T0000100","short",0.0035,"SD"
"31",31,"T0000100","short",0.002,"SD"
"32",32,"T0000100","flat",0.0419,"SD"
"33",33,"T0000100","flat",0.025,"SD"
"34",34,"T0000100","flat",0.0158,"SD"
"35",35,"T0000100","flat",0.0307,"SD"
"36",36,"T0000100","flat",0.0476,"SD"
"37",37,"T0000100","flat",0.046,"SD"
"38",38,"T0000100","short",0.004,"SD"
"39",39,"T0000100","flat",0.0394,"SD"
"40",40,"T0000100","flat",0.0215,"SD"
"41",41,"T0000100","short-ur",0.0087,"SD"
"42",42,"T0000100","flat",0.0204,"SD"
"43",43,"T0000100","short",0.0015,"SD"
"44",44,"T0000100","flat",0.046,"SD"
"45",45,"T0000100","short",0.003,"SD"
"46",46,"T0000100","flat",0.0373,"SD"
"47",47,"T0000100","flat",0.0424,"SD"
"48",48,"T0000100","flat",0.0373,"SD"
"49",49,"T0000100","short",0.0092,"SD"
"50",50,"T0000100","flat",0.044,"SD"
"51",51,"T0000100","flat",0.0942,"SD"
"52",52,"T0000100","flat",0.0286,"SD"
"53",53,"T0000100","flat",0.0291,"SD"
"54",54,"T0000100","flat",0.0302,"SD"
"55",55,"T0000100","unclear",0.0629,"SD"
"56",56,"T0000100","short",0.0035,"SD"
"57",57,"T0000100","flat",0.0174,"SD"
"58",58,"T0000100","short-ur",0.0015,"SD"
"59",59,"T0000100","flat",0.064,"SD"
"60",60,"T0000100","short",0.0046,"SD"
"61",61,"T0000100","flat",0.0148,"SD"
"62",62,"T0000100","short",0.0071,"SD"
"63",63,"T0000100","flat",0.0471,"SD"
"64",64,"T0000100","flat",0.0291,"SD"
"65",65,"T0000100","flat",0.0762,"SD"
"66",66,"T0000100","flat",0.0588,"SD"
"67",67,"T0000100","short-ur",0.0035,"SD"
"68",68,"T0000100","flat",0.0373,"SD"
