"","categories.allowed","total.counts","file.name","strain"
"1","flat",2428,"T0000085","SD"
"2","flat-z",392,"T0000085","SD"
"3","flat-mz",118,"T0000085","SD"
"4","short",243,"T0000085","SD"
"5","short-su",1,"T0000085","SD"
"6","short-sd",0,"T0000085","SD"
"7","short-ur",7,"T0000085","SD"
"8","short-dr",2,"T0000085","SD"
"9","short-c",4,"T0000085","SD"
"10","complex",41,"T0000085","SD"
"11","upward ramp",11,"T0000085","SD"
"12","downward ramp",2,"T0000085","SD"
"13","step up",16,"T0000085","SD"
"14","step down",20,"T0000085","SD"
"15","multi-step",1,"T0000085","SD"
"16","multi-step-s",0,"T0000085","SD"
"17","trill",1,"T0000085","SD"
"18","trill-c",0,"T0000085","SD"
"19","trill-f",0,"T0000085","SD"
"20","inverted-U",0,"T0000085","SD"
"21","unclear",13,"T0000085","SD"
"22","flat",265,"T0000091","WK"
"23","flat-z",23,"T0000091","WK"
"24","flat-mz",12,"T0000091","WK"
"25","short",157,"T0000091","WK"
"26","short-su",2,"T0000091","WK"
"27","short-sd",2,"T0000091","WK"
"28","short-ur",11,"T0000091","WK"
"29","short-dr",3,"T0000091","WK"
"30","short-c",20,"T0000091","WK"
"31","complex",18,"T0000091","WK"
"32","upward ramp",3,"T0000091","WK"
"33","downward ramp",0,"T0000091","WK"
"34","step up",14,"T0000091","WK"
"35","step down",6,"T0000091","WK"
"36","multi-step",2,"T0000091","WK"
"37","multi-step-s",0,"T0000091","WK"
"38","trill",65,"T0000091","WK"
"39","trill-c",22,"T0000091","WK"
"40","trill-f",2,"T0000091","WK"
"41","inverted-U",3,"T0000091","WK"
"42","unclear",15,"T0000091","WK"
"43","flat",84,"T0000096","WK"
"44","flat-z",50,"T0000096","WK"
"45","flat-mz",2,"T0000096","WK"
"46","short",82,"T0000096","WK"
"47","short-su",1,"T0000096","WK"
"48","short-sd",0,"T0000096","WK"
"49","short-ur",1,"T0000096","WK"
"50","short-dr",0,"T0000096","WK"
"51","short-c",5,"T0000096","WK"
"52","complex",13,"T0000096","WK"
"53","upward ramp",1,"T0000096","WK"
"54","downward ramp",22,"T0000096","WK"
"55","step up",2,"T0000096","WK"
"56","step down",2,"T0000096","WK"
"57","multi-step",0,"T0000096","WK"
"58","multi-step-s",0,"T0000096","WK"
"59","trill",61,"T0000096","WK"
"60","trill-c",8,"T0000096","WK"
"61","trill-f",2,"T0000096","WK"
"62","inverted-U",0,"T0000096","WK"
"63","unclear",4,"T0000096","WK"
"64","flat",953,"T0000105","SD"
"65","flat-z",71,"T0000105","SD"
"66","flat-mz",83,"T0000105","SD"
"67","short",181,"T0000105","SD"
"68","short-su",0,"T0000105","SD"
"69","short-sd",0,"T0000105","SD"
"70","short-ur",5,"T0000105","SD"
"71","short-dr",3,"T0000105","SD"
"72","short-c",11,"T0000105","SD"
"73","complex",75,"T0000105","SD"
"74","upward ramp",23,"T0000105","SD"
"75","downward ramp",11,"T0000105","SD"
"76","step up",13,"T0000105","SD"
"77","step down",30,"T0000105","SD"
"78","multi-step",13,"T0000105","SD"
"79","multi-step-s",1,"T0000105","SD"
"80","trill",6,"T0000105","SD"
"81","trill-c",1,"T0000105","SD"
"82","trill-f",5,"T0000105","SD"
"83","inverted-U",0,"T0000105","SD"
"84","unclear",5,"T0000105","SD"
"85","flat",211,"T0000124","WK"
"86","flat-z",33,"T0000124","WK"
"87","flat-mz",5,"T0000124","WK"
"88","short",151,"T0000124","WK"
"89","short-su",1,"T0000124","WK"
"90","short-sd",2,"T0000124","WK"
"91","short-ur",6,"T0000124","WK"
"92","short-dr",7,"T0000124","WK"
"93","short-c",49,"T0000124","WK"
"94","complex",93,"T0000124","WK"
