"unique.id","file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","strain"
1,"T0000085","flat",0.0261,0.1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49800,NA,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
2,"T0000085","flat",0.0414,0.4925,NA,NA,NA,50200,50200,NA,NA,NA,49800,NA,NA,NA,NA,49300,49800,NA,49300,49300,49300,49300,48800,48800,48800,48800,48300,48800,48800,48300,48300,48300,48300,48300,48300,48300,48300,47800,48300,48300,47800,47800,47800,48300,47800,48300,47800,47800,NA,48300,NA,NA,"SD"
3,"T0000085","flat",0.0302,0.9569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52700,52200,52700,52200,52200,52200,52700,52700,52700,52700,52700,52700,52700,52700,53200,52700,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,52700,NA,53200,NA,"SD"
4,"T0000085","flat-z",0.0747,1.2605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
5,"T0000085","flat-z",0.0721,1.4551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42900,42900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41900,41900,41900,41900,NA,41500,NA,"SD"
6,"T0000085","flat-z",0.0486,1.6471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47800,47800,47300,47300,46800,46800,46800,46800,NA,NA,NA,NA,NA,NA,43400,NA,42900,NA,NA,NA,NA,NA,42900,42900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
7,"T0000085","flat-z",0.0568,1.8216,NA,NA,NA,NA,NA,NA,NA,49300,NA,NA,NA,49300,NA,48800,49300,48800,48800,48800,48800,NA,NA,NA,NA,NA,NA,NA,NA,47800,47800,47800,47800,48300,47300,47800,47300,NA,NA,43900,44400,44400,44400,43900,43900,43900,43900,43900,43900,43400,43400,NA,"SD"
8,"T0000085","flat",0.0373,1.9952,NA,NA,50700,51200,50700,50700,50700,NA,NA,NA,NA,NA,NA,50200,NA,49800,49800,50200,50200,49800,49800,50200,50200,49800,50200,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49300,49800,49300,49300,49300,48800,48800,48800,NA,48800,NA,"SD"
9,"T0000085","flat",0.0568,2.4263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
10,"T0000085","flat",0.0184,2.9977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52200,52200,NA,NA,NA,NA,NA,52200,52200,52200,52200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
