,flat count,flat-z count,flat-mz count,short count,short-ur,short-dr,short-su,short-sd,short-c,complex count,step up count,step down count,upward ramp count,downward ramp count,multi-step count,multi-step-s,trill count,trill-c,trill-f,inverted-u count,unclear count,total 
T0000085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
T0000105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,10
T0000141,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
T0000152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
T0000155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
T0000195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3
T0000242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,0,0,15
T0000254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,33,13,0,0,147
,,,,,,,,,,,,,,,,,,,,,,
T0000091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,21,2,0,0,75
T0000096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,8,2,0,0,65
T0000124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,3,0,0,53
T0000185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,4,0,0,84
T0000190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,25,4,0,0,163
T0000228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,1,0,0,25
T0000303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,35,0,0,0,84
