"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain"
"1","flat",105,"T0000088",141,0.74468085106383,"SD"
"2","flat-z",29,"T0000088",141,0.205673758865248,"SD"
"3","flat-mz",7,"T0000088",141,0.049645390070922,"SD"
"4","short",0,"T0000088",141,0,"SD"
"5","short-su",0,"T0000088",141,0,"SD"
"6","short-sd",0,"T0000088",141,0,"SD"
"7","short-ur",0,"T0000088",141,0,"SD"
"8","short-dr",0,"T0000088",141,0,"SD"
"9","short-c",0,"T0000088",141,0,"SD"
"10","complex",0,"T0000088",141,0,"SD"
"11","upward ramp",0,"T0000088",141,0,"SD"
"12","downward ramp",0,"T0000088",141,0,"SD"
"13","step up",0,"T0000088",141,0,"SD"
"14","step down",0,"T0000088",141,0,"SD"
"15","multi-step",0,"T0000088",141,0,"SD"
"16","multi-step-s",0,"T0000088",141,0,"SD"
"17","trill",0,"T0000088",141,0,"SD"
"18","trill-c",0,"T0000088",141,0,"SD"
"19","trill-f",0,"T0000088",141,0,"SD"
"20","inverted-U",0,"T0000088",141,0,"SD"
"21","unclear",0,"T0000088",141,0,"SD"
"22","flat",37,"T0000093",81,0.45679012345679,"WK"
"23","flat-z",8,"T0000093",81,0.0987654320987654,"WK"
"24","flat-mz",3,"T0000093",81,0.037037037037037,"WK"
"25","short",19,"T0000093",81,0.234567901234568,"WK"
"26","short-su",0,"T0000093",81,0,"WK"
"27","short-sd",0,"T0000093",81,0,"WK"
"28","short-ur",2,"T0000093",81,0.0246913580246914,"WK"
"29","short-dr",0,"T0000093",81,0,"WK"
"30","short-c",10,"T0000093",81,0.123456790123457,"WK"
"31","complex",0,"T0000093",81,0,"WK"
"32","upward ramp",0,"T0000093",81,0,"WK"
"33","downward ramp",1,"T0000093",81,0.0123456790123457,"WK"
"34","step up",1,"T0000093",81,0.0123456790123457,"WK"
"35","step down",0,"T0000093",81,0,"WK"
"36","multi-step",0,"T0000093",81,0,"WK"
"37","multi-step-s",0,"T0000093",81,0,"WK"
"38","trill",0,"T0000093",81,0,"WK"
"39","trill-c",0,"T0000093",81,0,"WK"
"40","trill-f",0,"T0000093",81,0,"WK"
"41","inverted-U",0,"T0000093",81,0,"WK"
"42","unclear",0,"T0000093",81,0,"WK"
"43","flat",267,"T0000098",477,0.559748427672956,"WK"
