"","unique.id","file.name","label","duration","strain"
"1",1,"T0000088","flatonic",0.0808,"SD"
"2",2,"T0000088","flatonic",0.0803,"SD"
"3",3,"T0000088","flatonicx",0.0885,"SD"
"4",4,"T0000088","flat-z",0.0947,"SD"
"5",5,"T0000088","flat-z",0.0901,"SD"
"6",6,"T0000088","flatonicx",0.0844,"SD"
"7",7,"T0000088","flatonic",0.089,"SD"
"8",8,"T0000088","flatonic",0.0849,"SD"
"9",9,"T0000088","flatonicx",0.0896,"SD"
"10",10,"T0000088","flat-z",0.0875,"SD"
"11",11,"T0000088","flatonic",0.0829,"SD"
"12",12,"T0000088","flatonicx",0.0721,"SD"
"13",13,"T0000088","flatonicx",0.1131,"SD"
"14",14,"T0000088","flat-z",0.1029,"SD"
"15",15,"T0000088","flatonicx",0.0768,"SD"
"16",16,"T0000088","flatonicx",0.0757,"SD"
"17",17,"T0000088","flat",0.0568,"SD"
"18",18,"T0000088","flat-mz",0.0737,"SD"
"19",19,"T0000088","flat-z",0.0568,"SD"
"20",20,"T0000088","flat-mz",0.087,"SD"
"21",21,"T0000088","flat-mz",0.1249,"SD"
"22",22,"T0000088","flatonicx",0.1157,"SD"
"23",23,"T0000088","flatonicx",0.1274,"SD"
"24",24,"T0000088","flatonicx",0.1177,"SD"
"25",25,"T0000088","flatonicx",0.11,"SD"
"26",26,"T0000088","flatonicx",0.1198,"SD"
"27",27,"T0000088","flat-z",0.1018,"SD"
"28",28,"T0000088","flatonic",0.1003,"SD"
"29",29,"T0000088","flatonic",0.0829,"SD"
"30",30,"T0000088","flat-mz",0.0931,"SD"
"31",31,"T0000088","flatonicx",0.0916,"SD"
"32",32,"T0000088","flatonic",0.1064,"SD"
"33",33,"T0000088","flatonic",0.1182,"SD"
"34",34,"T0000088","flatonic",0.1105,"SD"
"35",35,"T0000088","flatonicx",0.0983,"SD"
"36",36,"T0000088","flat",0.0128,"SD"
"37",37,"T0000088","flat-z",0.0752,"SD"
