file.name,label,start.time
T0000100,idk,0.2309
T0000100,flat,1.1699
T0000100,flat,1.5329
T0000100,short,4.6868
T0000100,flat,4.7262
T0000100,flat,5.1415
T0000100,flat,5.315
T0000100,flat,5.4947
T0000100,flat,5.8757
T0000100,flat,6.2156
T0000100,flat,6.2617
T0000100,flat,6.4368
T0000100,flat,6.5602
T0000100,short,6.7266
T0000100,short,7.2478
T0000100,short-ur,7.8156
T0000100,short-ur,7.9733
T0000100,step down,8.1756
T0000100,short,8.3696
T0000100,short,8.5396
T0000100,short-ur,8.7654
T0000100,flat,9.4151
T0000100,flat,9.6143
T0000100,flat,9.7812
T0000100,flat,9.9363
T0000100,flat,25.2093
T0000100,short,29.7943
T0000100,flat-z,29.954
T0000100,flat harmx,32.3911
T0000100,short,35.3152
T0000100,short,36.0002
T0000100,flat,36.162
T0000100,flat,36.3391
T0000100,flat,36.9945
T0000100,flat,38.2556
T0000100,flat,38.7046
T0000100,flat,39.0625
T0000100,short,39.6031
T0000100,flat,40.2775
T0000100,flat,40.6246
T0000100,short-ur,41.7249
T0000100,flat,43.2133
T0000100,short,47.7342
T0000100,flat,49.3173
T0000100,short,50.8426
T0000100,flat,51.8302
T0000100,flat,52.9269
T0000100,flat,56.6783
T0000100,short,66.3976
T0000100,flat,72.2703
T0000100,flat,73.4622
T0000100,flat,73.6849
T0000100,flat,73.8534
T0000100,flat,75.2256
T0000100,unclear,79.9278
T0000100,short,82.0162
T0000100,flat,87.0753
T0000100,short-ur,93.1374
T0000100,flat,94.6426
T0000100,short,94.8316
T0000100,flat,95.1301
T0000100,short,95.2944
T0000100,flat,96.8965
T0000100,flat,97.0874
T0000100,flat harmx,97.2303
T0000100,flat,99.1964
T0000100,short-ur,100.7764
T0000100,flat,101.0621
T0000100,flat,101.2254
T0000100,flat,102.1004
T0000100,flat,102.318
T0000100,flat,102.446
T0000100,flat harmx,102.6539
T0000100,flat,102.8003
T0000100,flat harmx,102.9253
T0000100,flat  harmx,103.1255
T0000100,flat-z,103.278
T0000100,flat,113.944
T0000100,flat,114.7719
T0000100,flat-z  harm,114.9486
T0000100,flat,115.2097
T0000100,flat,115.3382
T0000100,flat,115.5379
T0000100,flat,115.7355
T0000100,flat,115.9459
