categories.allowed,total.counts,file.name,total.filecounts,rel.filecount
trill,0,T0000100,497,0
trill-c,0,T0000100,497,0
trill-f,0,T0000100,497,0
trill,0,T0000102,72,0
trill-c,0,T0000102,72,0
trill-f,0,T0000102,72,0
trill,0,T0000109,328,0
trill-c,0,T0000109,328,0
trill-f,0,T0000109,328,0
trill,1,T0000111,679,0.001472754
trill-c,0,T0000111,679,0
trill-f,0,T0000111,679,0
trill,0,T0000138,82,0
trill-c,0,T0000138,82,0
trill-f,0,T0000138,82,0
trill,0,T0000145,179,0
trill-c,0,T0000145,179,0
trill-f,0,T0000145,179,0
trill,0,T0000159,705,0
trill-c,0,T0000159,705,0
trill-f,0,T0000159,705,0
trill,0,T0000161,726,0
trill-c,0,T0000161,726,0
trill-f,0,T0000161,726,0
trill,0,T0000199,55,0
trill-c,0,T0000199,55,0
trill-f,0,T0000199,55,0
trill,0,T0000201,199,0
trill-c,0,T0000201,199,0
trill-f,0,T0000201,199,0
trill,0,T0000203,111,0
trill-c,0,T0000203,111,0
trill-f,0,T0000203,111,0
trill,0,T0000233,479,0
trill-c,0,T0000233,479,0
trill-f,0,T0000233,479,0
trill,0,T0000251,355,0
trill-c,0,T0000251,355,0
trill-f,0,T0000251,355,0
trill,0,T0000260,466,0
trill-c,0,T0000260,466,0
trill-f,0,T0000260,466,0
trill,0,T0000308,325,0
trill-c,0,T0000308,325,0
trill-f,0,T0000308,325,0
