"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain"
"1","flat",0,"T0000084",19,0,"SD"
"2","flat-z",0,"T0000084",19,0,"SD"
"3","flat-mz",0,"T0000084",19,0,"SD"
"4","short",14,"T0000084",19,0.736842105263158,"SD"
"5","short-su",0,"T0000084",19,0,"SD"
"6","short-sd",0,"T0000084",19,0,"SD"
"7","short-ur",2,"T0000084",19,0.105263157894737,"SD"
"8","short-dr",0,"T0000084",19,0,"SD"
"9","short-c",0,"T0000084",19,0,"SD"
"10","complex",0,"T0000084",19,0,"SD"
"11","upward ramp",0,"T0000084",19,0,"SD"
"12","downward ramp",0,"T0000084",19,0,"SD"
"13","step up",0,"T0000084",19,0,"SD"
"14","step down",0,"T0000084",19,0,"SD"
"15","multi-step",0,"T0000084",19,0,"SD"
"16","multi-step-s",0,"T0000084",19,0,"SD"
"17","trill",0,"T0000084",19,0,"SD"
"18","trill-c",0,"T0000084",19,0,"SD"
"19","trill-f",0,"T0000084",19,0,"SD"
"20","inverted-U",0,"T0000084",19,0,"SD"
"21","unclear",3,"T0000084",19,0.157894736842105,"SD"
"22","flat",0,"T0000090",4,0,"WK"
"23","flat-z",0,"T0000090",4,0,"WK"
"24","flat-mz",0,"T0000090",4,0,"WK"
"25","short",4,"T0000090",4,1,"WK"
"26","short-su",0,"T0000090",4,0,"WK"
"27","short-sd",0,"T0000090",4,0,"WK"
"28","short-ur",0,"T0000090",4,0,"WK"
"29","short-dr",0,"T0000090",4,0,"WK"
"30","short-c",0,"T0000090",4,0,"WK"
"31","complex",0,"T0000090",4,0,"WK"
"32","upward ramp",0,"T0000090",4,0,"WK"
"33","downward ramp",0,"T0000090",4,0,"WK"
"34","step up",0,"T0000090",4,0,"WK"
"35","step down",0,"T0000090",4,0,"WK"
"36","multi-step",0,"T0000090",4,0,"WK"
"37","multi-step-s",0,"T0000090",4,0,"WK"
"38","trill",0,"T0000090",4,0,"WK"
"39","trill-c",0,"T0000090",4,0,"WK"
"40","trill-f",0,"T0000090",4,0,"WK"
