"unique.id","file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50"
1,"T0000001","short-su",0.0066,0.6548,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,69800,69800,69800,69800,68800,68800,68800,68800,53200,53200,53200,53200,69300,69300,69300,69300,69300,69300,69300,68800,68800,68800,68800,67800,67800,67800,67800,68300,68300,68300,NA
2,"T0000001","trill-c",0.0332,1.0229,NA,50200,50200,50700,50700,50700,50700,49300,49300,51200,53700,54100,54100,54600,54600,54600,54600,54100,53700,54600,56100,56600,57600,56100,56100,56600,56600,56600,57100,56600,56600,56600,56600,56600,56600,55100,55600,72700,73700,74200,75600,73200,73700,74200,72700,73700,73700,75100,74200,NA
3,"T0000001","short",0.0076,2.176,48300,48300,48300,48300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,49300,49300,49300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48300
4,"T0000001","trill-c",0.0363,2.5461,NA,46300,47800,47800,47800,48800,49800,49800,49800,49800,49300,48800,48300,50200,53700,54100,54100,54100,54100,54100,54100,54100,54100,54100,53700,53700,53700,54100,54600,51700,52200,69800,69300,69300,66800,66400,51200,51700,52200,69300,68300,68300,67300,68800,68300,68300,68300,66800,66800,NA
5,"T0000001","flat",0.0184,3.371,44900,44900,45400,44900,44900,45400,45800,45400,45400,45400,45400,45400,45400,46300,45800,46300,46300,45800,46300,46300,46300,46300,46300,46300,46800,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46300,46300,46300,46300,46300,46300,46300
6,"T0000001","flat",0.0435,3.5399,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,41900,42400,42400,42400,42400,42400,42400,42400,41900,42400,41900,41900,41900,41900,41900,41900,41500,41500,41500,41500,41000,41500,41000
7,"T0000001","trill",0.0353,3.6474,52700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,49800,NA,70300,70800,70800,70800,70800,70800,70800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68800,68800,68300,68300,68300
8,"T0000001","flat",0.0568,3.7063,38000,38000,NA,38500,39000,39000,38500,38500,38500,38500,38500,39500,39000,39500,40000,40000,39000,40000,40000,40000,39500,39500,39500,40000,40500,40500,40000,40500,40000,39500,41000,40500,40000,40000,NA,NA,NA,39000,39500,39500,40000,40500,41000,41000,41000,41000,40500,40500,40000,39500
9,"T0000001","flat-z",0.0424,3.9157,40000,40000,39500,40500,40500,40000,40000,39500,NA,NA,NA,NA,40000,39500,39500,40500,41000,41900,41900,42400,42900,43400,43400,43900,43900,44400,44400,44400,44400,43900,43900,43900,43400,43400,43400,42900,42900,42900,42900,42900,42900,42400,42400,42400,41900,41900,41900,41500,41500,41000
10,"T0000001","flat",0.086,4.0949,37500,37500,38500,38500,39000,39000,39500,40000,39500,40000,40000,40000,39500,40000,39500,40000,40000,41000,41500,41500,41500,41500,41500,41500,41000,39500,39000,39000,39500,40000,40500,41500,41500,41900,41900,41900,41500,41500,41000,41000,41000,41000,41000,41000,41000,40500,40500,40000,39500,39000
11,"T0000001","complex",0.0486,4.3171,39000,39000,39000,40000,40500,40500,41000,40500,40500,40500,40000,40500,40000,40500,40500,41500,41900,41900,42400,43400,44400,45400,45800,45800,45800,45800,45800,45800,45800,45800,45400,45400,44900,44900,44900,43400,43400,43400,42900,42900,42900,42900,42400,42400,42400,41900,41900,41500,41500,41500
12,"T0000001","complex",0.0875,4.5168,38500,39000,NA,41500,41900,42400,42400,41900,41500,40000,NA,39000,39000,40500,41500,42400,42900,43400,43900,43400,42900,41900,40500,38500,NA,NA,NA,39000,NA,41000,42400,44900,45400,45400,45400,45400,45400,45400,45400,44900,44900,44900,44400,44400,44400,44400,43900,41900,41900,NA
13,"T0000001","complex",0.0593,4.7324,NA,NA,41000,41000,40500,NA,39500,39500,40000,NA,39500,39500,41000,41500,41900,42900,42900,44400,44900,44900,44900,44900,44900,44900,44900,45400,44900,44900,44400,44900,42900,42900,42900,42900,42900,43900,44900,44900,45400,45400,45400,45400,45400,45400,44900,44900,43900,43400,42400,41900
14,"T0000001","short",0.0133,4.9402,39000,39000,39000,39000,NA,NA,39500,39500,40000,40000,39500,39500,40000,40000,40000,40000,40500,40500,40500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400
15,"T0000001","short",0.002,5.0877,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"T0000001","short",0.0097,5.1363,42900,42900,42900,42400,42400,42400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,42900,42900,42900,42400,42400,NA,NA,NA,42400,42400,42400,42400,42400,42900,42900,42900
17,"T0000001","short",0.0122,5.312,NA,NA,NA,NA,NA,NA,NA,46300,46300,47800,47800,47300,47300,46800,46800,46800,46800,47800,47800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47300,47300,46300,46300,46300,46300,46300,46300,47300,47300,NA,NA,NA,NA,NA,NA,47300,47300,45800
18,"T0000001","trill-c",0.0327,5.3867,NA,52200,52700,53200,52700,52700,52700,NA,NA,NA,NA,46800,NA,NA,50200,50700,50700,50700,49300,NA,NA,NA,NA,53700,54100,54100,55100,55100,55100,55100,55600,55100,55600,55100,53700,54100,NA,NA,NA,54600,55600,69300,69300,69800,69800,69300,69800,69800,70300,NA
19,"T0000001","short",0.0092,5.483,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,43400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43900,43900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,42400,42400,NA
20,"T0000001","trill-c",0.0624,5.6279,NA,NA,NA,NA,NA,NA,NA,NA,63400,69800,NA,69300,69300,NA,NA,NA,NA,67300,71200,71200,71200,70800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42400,42900,42900,42900,41900,41500,42400,42400,NA,41500,41000,NA,NA,NA
