"file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50"
"T0000020","short",0.0051,0.065,70800,70800,70800,70800,70800,70300,70300,70300,70300,70300,70300,70300,70300,70300,70300,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000020","short",0.0092,0.2186,NA,NA,NA,70800,70800,70800,71200,71200,71200,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71700,71700,72200,72200,72200,71700,71700,71700,71700,71700,NA
"T0000020","short",0.0035,0.5483,NA,NA,NA,NA,NA,NA,NA,73200,73200,73200,73200,73200,73200,73200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,74200,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,73700,NA,NA,NA,NA,NA,NA,NA,NA
"T0000020","short",0.004,0.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000020","flat",0.0122,1.0393,NA,NA,NA,46300,46300,NA,NA,NA,NA,NA,NA,NA,NA,47800,47800,47800,47800,47800,47800,NA,NA,47800,47800,NA,NA,48800,48800,48300,48300,48300,48300,48300,48300,48300,48300,NA,NA,NA,NA,NA,NA,49300,49300,48300,48300,NA,NA,NA,NA,NA
"T0000020","trill",0.0189,1.5943,NA,NA,56600,58100,59500,59500,59500,59500,59500,59500,60000,60000,60000,60000,60000,60000,60000,60000,59500,60000,59000,59000,59500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56600,56600,59500,60500,70800,70800,59500,60000,71200,71200,70300,59500,70300,70300
"T0000020","flat",0.0133,1.8918,NA,NA,43900,43900,44400,44400,44900,44900,44400,44400,44400,44400,44400,44400,44900,44900,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45800,45800,44900,44900,44900,44900,44900,44900,44900,45400,45400,44900,44900,45400,45400,NA,NA,43900,43400
"T0000020","flat",0.0245,2.0459,NA,NA,NA,42900,42900,42900,42900,43400,43900,43900,43900,44400,45400,44900,45400,45400,45800,45800,45800,45800,46300,46800,46800,46300,46800,46800,46800,46800,47300,47300,47300,47300,47300,47300,47300,47300,46800,46800,46800,46300,45800,46300,45800,45800,45800,45800,45400,44400,NA,45400
"T0000020","complex",0.0675,2.092,45400,45800,NA,47300,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47300,47300,47300,47300,46800,NA,45800,44900,44900,NA,NA,NA,44400,45400,45400,46300,45800,46800,45800,45800,NA,45400,44900,43900,NA,42900,NA,NA,NA,42900,NA,NA,NA
"T0000020","trill-c",0.0384,2.2016,NA,NA,NA,NA,NA,NA,62900,62900,NA,64400,65400,NA,65400,66400,65900,66400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64400,64400,NA,NA,NA,75100,75600,75600,76100,76100,76100,76100,76600,NA,NA,NA,NA,63400,NA,NA,NA
"T0000020","unclear",0.0353,2.3715,NA,NA,NA,67800,67300,67300,66800,66400,66800,66800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63900,63400,NA,63400,NA
"T0000020","short",0.0071,2.5466,NA,NA,NA,NA,71200,71200,71200,71200,71200,71200,71200,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,72200,71700
"T0000020","short",0.0015,2.818,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200
"T0000020","short",0.004,2.8876,70800,70800,70800,70800,70800,70800,70800,70300,70300,70300,70300,70300,70300,70800,70800,70800,70800,70800,70800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,NA,NA,NA,NA,NA,NA,NA
"T0000020","short",0.003,2.9864,45800,45800,45800,45800,45800,45800,45800,45800,45800,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,45800,45800,45800,45800,45800,45800,45800,45800,45800
"T0000020","complex",0.0281,3.1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61000,61500,61500,61500,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
